feature,importance
sma_cross_50_200,231
vol_volatility_20,215
ext_fgi_std_21,207
ext_fgi_std_30,166
flow_momentum_20,162
low_14d_dist,161
low_50d_dist,161
volatility_20d,158
obv,151
vol_volatility_10,149
low_21d_dist,143
volatility_10d,143
atr_21,142
sma_200,139
vol_sma_50,137
macd_hist,137
ext_fgi_ma30,134
obv_sma_20,134
flow_momentum_10,134
price_vs_sma_200,133
price_vs_sma_50,131
return_1d,126
buy_pressure_ma_5,124
vol_price_corr_20,121
rsi_28,117
vol_price_corr_10,116
avg_trade_size_ratio_20,114
cvd_change_14,111
flow_momentum_5,110
atr_pct_21,109
ext_fgi_std_14,109
cvd_change_21,108
ext_fgi_std_7,107
buy_pressure_ma_10,106
buy_pressure,106
high_50d_dist,105
trades_sma_20,102
ema_200,101
bb_width_20,100
cvd_ma_21,100
buy_pressure_ma_20,99
cvd_change_7,99
volatility_5d,95
return_3d,93
high_14d_dist,89
ext_fgi_std_3,87
atr_14,86
ext_fgi_vs_ma30,86
high_21d_dist,85
ext_fgi_change_14d,83
trades_sma_10,82
trades_sma_5,82
ext_fgi_ma21,81
avg_trade_size_sma_20,80
sma_100,80
rsi_6,80
open_interest_24,80
avg_trade_size_ratio_5,79
funding_rate_24,78
vol_sma_20,76
bb_pctb_20,75
open_interest_14,73
obv_sma_10,72
macd_signal,72
return_5d,71
qvol_sma_20,71
cvd_ma_7,70
volume_density_sma_10,70
trades_change_1d,68
ext_fgi_change_21d,68
qvol_sma_10,67
flow_price_divergence_10,65
volume_density_sma_5,64
sma_cross_5_20,64
sma_cross_10_50,64
vol_sma_10,63
flow_change_10d,63
vol_change_1d,63
ext_fgi_price_div_7d,61
ext_fgi_ma7,61
avg_trade_size_sma_10,61
cvd_ma_14,60
ext_fgi_ma14,60
atr_pct_14,60
cvd,59
ext_fgi_change_3d,59
ema_5,58
ext_fgi_change_5d,58
ema_100,56
stoch_d_14,56
flow_price_divergence_20,54
price_vs_vwap_20,53
ext_fgi,52
avg_trade_size_ratio_10,52
ema_20,51
vol_change_5d,51
stablecoin_inflow_proxy,51
return_21d,51
trades_ratio_20,50
ext_fgi_price_div_14d,50
ext_fgi_ma3,50
flow_change_5d,49
ext_fgi_vs_ma14,49
avg_trade_size_sma_5,48
ext_fgi_change_7d,48
rsi_14,48
sma_50,47
stoch_k_14,46
ext_fgi_momentum_accel,46
qvol_ratio_10,45
flow_change_3d,45
return_14d,44
open_interest_7,43
bb_upper_20,42
vol_change_3d,42
vol_ratio_50,41
qvol_sma_5,41
return_7d,40
trades_ratio_10,40
bb_lower_20,39
price_vs_sma_20,38
ext_fgi_change_1d,38
trades_change_5d,38
volume_density,37
macd,35
sma_20,35
price_vs_vwap_10,35
trades_ratio_5,34
flow_change_1d,34
qvol_ratio_20,33
vol_sma_5,33
vwap_10,33
avg_trade_size,29
vol_ratio_20,28
ext_fgi_momentum,28
ema_50,28
vol_ratio_5,28
funding_rate_14,27
sma_10,26
sma_5,25
ema_10,22
vol_ratio_10,19
qvol_ratio_5,17
funding_rate_7,14
avg_trade_size_ma_20,12
vwap_20,11
avg_trade_size_ma_10,10
volume_density_ma_5,9
avg_trade_size_ma_5,9
volume_density_ma_10,8
ext_fgi_pct_rank_30,3
ext_fgi_pct_rank_60,2
ext_fgi_pct_rank_90,1
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
ext_fgi_fear,0
ext_fgi_greed,0
