feature,importance
sma_200,220
sma_cross_50_200,215
vol_volatility_20,215
low_50d_dist,214
price_vs_sma_200,199
trades_sma_20,187
ext_fgi_ma30,185
volatility_10d,177
rsi_28,174
obv,172
buy_pressure_ma_20,163
ext_fgi_std_14,158
low_21d_dist,158
vol_volatility_10,156
high_50d_dist,154
flow_momentum_10,150
high_14d_dist,141
vol_price_corr_20,140
return_3d,136
price_vs_sma_50,134
bb_width_20,131
cvd_change_21,128
return_1d,127
atr_21,125
volatility_20d,124
open_interest_14,120
vol_price_corr_10,119
vol_sma_50,117
cvd_ma_21,114
atr_pct_21,111
flow_momentum_20,106
trades_sma_5,106
buy_pressure_ma_5,106
buy_pressure_ma_10,105
obv_sma_20,105
sma_100,105
flow_momentum_5,103
macd_hist,101
high_21d_dist,99
cvd_change_14,98
volatility_5d,98
atr_14,97
open_interest_24,96
ext_fgi_change_14d,95
cvd_change_7,94
ema_100,94
low_14d_dist,93
avg_trade_size_ratio_20,91
funding_rate_24,90
ext_fgi_price_divergence,89
qvol_sma_20,88
trades_sma_10,86
buy_pressure,85
obv_sma_10,85
atr_pct_14,83
vol_ratio_50,82
avg_trade_size_ratio_5,80
ema_5,80
vol_sma_20,79
stoch_k_14,78
ext_fgi_ma14,77
return_5d,75
bb_pctb_20,75
sma_cross_5_20,75
volume_density_sma_10,72
rsi_6,71
stoch_d_14,69
return_21d,69
trades_change_1d,68
macd,68
rsi_14,67
qvol_sma_5,67
avg_trade_size_sma_20,66
flow_change_10d,66
volume_density,66
ema_200,63
stablecoin_inflow_proxy,62
ext_fgi_ma7,62
cvd_ma_14,61
macd_signal,61
open_interest_7,60
qvol_sma_10,58
cvd,57
flow_price_divergence_20,57
cvd_ma_7,55
flow_change_5d,55
sma_cross_10_50,54
return_14d,53
vol_change_5d,53
avg_trade_size_sma_10,50
sma_5,48
vol_sma_10,48
price_vs_vwap_10,48
price_vs_vwap_20,47
ext_fgi_change_7d,46
avg_trade_size_ratio_10,45
sma_50,45
ext_fgi,45
vol_change_3d,45
flow_change_3d,44
volume_density_sma_5,43
avg_trade_size_sma_5,41
trades_ratio_20,40
flow_price_divergence_10,38
bb_upper_20,37
trades_ratio_10,37
ema_50,36
vol_change_1d,35
trades_change_5d,34
ema_10,33
funding_rate_14,33
return_7d,31
trades_ratio_5,31
bb_lower_20,30
sma_20,29
price_vs_sma_20,29
qvol_ratio_20,29
vol_sma_5,28
avg_trade_size,28
sma_10,28
funding_rate_7,27
flow_change_1d,25
ema_20,25
vwap_10,23
avg_trade_size_ma_20,20
vol_ratio_20,19
volume_density_ma_10,17
qvol_ratio_10,16
vol_ratio_5,15
qvol_ratio_5,13
vwap_20,12
vol_ratio_10,12
volume_density_ma_5,10
avg_trade_size_ma_5,6
avg_trade_size_ma_10,4
ext_fgi_extreme_greed,2
ext_fgi_extreme_fear,0
