fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.6825396825396826,0.47368421052631576,0.391304347826087,0.6,0.6232057416267942,0.26056338028169024
1,1521,63,0.7301587301587301,0.6530612244897959,0.5517241379310345,0.8,0.7161410018552876,0.44421380384016607
2,1542,63,0.873015873015873,0.75,0.75,0.75,0.8324468085106382,0.6648936170212766
3,1563,63,0.9047619047619048,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.8622448979591837,0.7248908296943232
4,1584,63,0.8412698412698413,0.2857142857142857,0.16666666666666666,1.0,0.5982142857142857,0.2446043165467625
5,1605,63,0.5396825396825397,0.21621621621621623,0.12121212121212122,1.0,0.44518675979350136,0.11611030478955009
6,1626,63,0.2222222222222222,0.10909090909090909,0.057692307692307696,1.0,0.20947503201024326,0.020932445290199886
7,1647,63,0.36507936507936506,0.13043478260869565,0.06976744186046512,1.0,0.31521739130434784,0.0454545454545453
8,1668,63,0.6825396825396826,0.09090909090909091,0.0625,0.16666666666666666,0.4493006993006993,-0.055276381909547645
9,1689,63,0.6666666666666666,0.0,0.0,0.0,0.4,0.0
10,1710,63,0.4603174603174603,0.0,0.0,0.0,0.31521739130434784,0.0
11,1731,63,0.5555555555555556,0.2631578947368421,0.5555555555555556,0.1724137931034483,0.47248803827751196,0.05769230769230771
12,1752,63,0.42857142857142855,0.14285714285714285,0.1111111111111111,0.2,0.3571428571428571,-0.23529411764705865
13,1773,63,0.47619047619047616,0.4406779661016949,0.2826086956521739,1.0,0.4740703263344296,0.1753272510908369
14,1794,63,0.6984126984126984,0.7764705882352941,0.6346153846153846,1.0,0.6565279770444763,0.3775351014040562
15,1815,63,0.7619047619047619,0.7887323943661971,0.7368421052631579,0.8484848484848485,0.7580025608194623,0.5190839694656488
16,1836,63,0.8571428571428571,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8497217068645639,0.7014218009478673
17,1857,63,0.9206349206349206,0.0,0.0,0.0,0.4793388429752066,-0.03960396039603964
18,1878,63,0.873015873015873,0.0,0.0,0.0,0.4661016949152542,0.0
19,1899,63,0.47619047619047616,0.0,0.0,0.0,0.3225806451612903,0.0
20,1920,63,0.4126984126984127,0.17777777777777778,0.1,0.8,0.36049382716049383,0.042710472279260614
21,1941,63,0.6984126984126984,0.24,0.2,0.3,0.525940594059406,0.06117647058823528
22,1962,63,0.7142857142857143,0.0,0.0,0.0,0.4166666666666667,-0.1642710472279263
23,1983,63,0.6349206349206349,0.0,0.0,0.0,0.3883495145631068,-0.14184397163120543
24,2004,63,0.4126984126984127,0.0,0.0,0.0,0.29213483146067415,-0.15912481352560937
25,2025,63,0.5555555555555556,0.125,0.11764705882352941,0.13333333333333333,0.41356382978723405,-0.17131474103585664
26,2046,63,0.5714285714285714,0.5714285714285714,0.5,0.6666666666666666,0.5714285714285714,0.16000000000000003
