feature,importance
trades_sma_20,209
price_vs_sma_200,199
low_50d_dist,197
ext_fgi_std_14,183
vol_volatility_20,181
sma_cross_50_200,174
flow_momentum_20,172
low_21d_dist,167
sma_100,160
flow_momentum_5,158
buy_pressure_ma_20,155
rsi_28,144
qvol_sma_20,140
cvd_change_21,139
high_50d_dist,135
low_14d_dist,133
ema_5,124
obv,120
flow_momentum_10,120
vol_volatility_10,120
volatility_5d,118
return_1d,115
high_14d_dist,114
buy_pressure,114
macd_hist,113
cvd_ma_21,112
funding_rate_24,112
atr_pct_21,106
atr_21,103
vol_price_corr_10,102
cvd_change_14,101
obv_sma_20,100
atr_pct_14,99
volatility_20d,99
vol_price_corr_20,98
trades_sma_5,97
ema_200,97
obv_sma_10,96
cvd_change_7,96
ext_fgi_ma30,96
trades_change_1d,95
volatility_10d,95
rsi_6,94
return_5d,92
vol_sma_20,91
sma_50,89
price_vs_sma_50,87
ext_fgi_ma7,87
sma_200,86
buy_pressure_ma_5,86
cvd_ma_7,85
avg_trade_size_sma_20,85
bb_width_20,85
open_interest_24,84
cvd_ma_14,82
buy_pressure_ma_10,81
avg_trade_size_sma_5,81
ema_100,81
macd_signal,79
avg_trade_size_sma_10,78
avg_trade_size_ratio_20,78
high_21d_dist,77
return_3d,77
stoch_k_14,77
macd,77
trades_sma_10,75
ext_fgi_price_divergence,74
ema_50,73
bb_pctb_20,73
sma_cross_10_50,72
flow_price_divergence_20,71
ext_fgi_ma14,71
avg_trade_size,70
trades_change_5d,70
stablecoin_inflow_proxy,69
avg_trade_size_ratio_5,69
sma_cross_5_20,69
vol_ratio_50,68
qvol_sma_5,66
vol_sma_50,66
open_interest_14,64
vol_change_1d,64
flow_change_5d,63
atr_14,61
return_21d,58
volume_density,57
avg_trade_size_ratio_10,56
flow_price_divergence_10,56
ext_fgi_change_7d,55
vol_change_3d,55
volume_density_sma_10,55
stoch_d_14,54
flow_change_10d,54
ext_fgi_change_14d,53
price_vs_vwap_10,52
open_interest_7,52
trades_ratio_5,52
qvol_sma_10,51
ema_20,49
bb_upper_20,46
rsi_14,45
price_vs_sma_20,42
volume_density_sma_5,41
sma_20,40
flow_change_3d,40
vol_change_5d,39
ext_fgi,38
sma_5,38
return_7d,38
funding_rate_7,37
vol_sma_5,36
trades_ratio_20,36
vol_ratio_20,30
qvol_ratio_20,29
flow_change_1d,27
qvol_ratio_10,26
qvol_ratio_5,26
return_14d,26
ema_10,25
bb_lower_20,25
vol_ratio_10,25
cvd,24
vwap_20,24
price_vs_vwap_20,23
funding_rate_14,21
vol_sma_10,21
vwap_10,20
sma_10,20
vol_ratio_5,19
avg_trade_size_ma_10,19
trades_ratio_10,16
avg_trade_size_ma_20,13
volume_density_ma_10,11
volume_density_ma_5,9
avg_trade_size_ma_5,9
ext_fgi_extreme_fear,1
ext_fgi_extreme_greed,0
