feature,importance
price_vs_sma_200,252
vol_volatility_20,238
sma_cross_50_200,234
low_50d_dist,212
sma_200,195
high_14d_dist,167
ext_fgi_std_14,164
trades_sma_20,157
rsi_28,148
ext_fgi_ma30,140
low_21d_dist,139
sma_100,135
price_vs_sma_50,134
cvd_ma_21,130
buy_pressure_ma_20,127
vol_volatility_10,125
volatility_5d,125
flow_momentum_20,125
cvd_change_21,125
vol_price_corr_20,123
low_14d_dist,119
flow_momentum_10,116
atr_21,113
qvol_sma_20,109
ema_5,108
high_50d_dist,107
obv_sma_20,107
macd_hist,105
trades_sma_10,104
vol_sma_20,102
obv,102
sma_cross_10_50,98
trades_sma_5,98
cvd_change_7,97
high_21d_dist,93
ema_200,93
obv_sma_10,91
volatility_10d,89
volatility_20d,88
buy_pressure_ma_10,88
flow_momentum_5,87
vol_sma_50,87
return_1d,87
volume_density_sma_10,86
atr_pct_21,85
return_5d,83
sma_50,83
cvd_change_14,82
funding_rate_24,80
cvd_ma_14,80
ext_fgi_change_14d,79
open_interest_14,77
macd_signal,76
atr_pct_14,74
price_vs_vwap_10,74
vol_price_corr_10,69
atr_14,69
trades_change_1d,67
vol_change_3d,67
buy_pressure,67
bb_pctb_20,67
cvd_ma_7,64
ema_100,64
macd,64
flow_change_10d,63
return_3d,62
avg_trade_size_ratio_20,61
rsi_6,61
flow_change_5d,60
stoch_k_14,60
avg_trade_size_sma_5,58
rsi_14,58
open_interest_24,58
ext_fgi_ma14,57
ext_fgi_ma7,57
sma_cross_5_20,53
open_interest_7,52
bb_width_20,52
return_21d,52
volume_density,51
ext_fgi_change_7d,51
ext_fgi_price_divergence,50
stoch_d_14,49
price_vs_sma_20,49
qvol_sma_10,48
vol_change_1d,48
avg_trade_size_sma_10,47
avg_trade_size_ratio_10,47
sma_5,47
ema_50,47
bb_upper_20,47
vol_change_5d,47
ema_20,46
flow_price_divergence_20,46
avg_trade_size_ratio_5,45
qvol_sma_5,45
buy_pressure_ma_5,45
stablecoin_inflow_proxy,45
ext_fgi,39
return_7d,39
vol_ratio_50,39
avg_trade_size,38
avg_trade_size_sma_20,38
flow_change_3d,37
cvd,34
price_vs_vwap_20,34
funding_rate_7,33
flow_price_divergence_10,33
funding_rate_14,32
volume_density_sma_5,32
trades_ratio_20,31
qvol_ratio_5,29
trades_change_5d,28
qvol_ratio_10,27
qvol_ratio_20,26
vol_sma_10,25
vol_sma_5,25
return_14d,25
sma_10,24
vol_ratio_5,24
vol_ratio_10,23
trades_ratio_5,23
vwap_20,22
bb_lower_20,21
trades_ratio_10,19
flow_change_1d,19
ema_10,19
vol_ratio_20,18
sma_20,17
vwap_10,17
avg_trade_size_ma_20,16
volume_density_ma_10,16
avg_trade_size_ma_5,9
avg_trade_size_ma_10,9
volume_density_ma_5,4
ext_fgi_extreme_greed,1
ext_fgi_extreme_fear,0
