feature,importance
low_50d_dist,251
vol_volatility_20,220
price_vs_sma_200,214
trades_sma_20,194
sma_200,193
sma_cross_50_200,179
ext_fgi_std_14,168
regime_trend_100,156
high_14d_dist,155
low_21d_dist,152
flow_momentum_20,142
buy_pressure_ma_20,133
vol_price_corr_20,130
atr_21,129
cvd_ma_21,128
rsi_28,127
price_vs_sma_50,126
vol_volatility_10,123
ema_5,121
volatility_5d,117
cvd_change_21,116
high_50d_dist,113
qvol_sma_20,111
flow_momentum_10,110
sma_100,110
ext_fgi_ma30,109
obv,108
obv_sma_20,106
cvd_change_7,104
return_1d,103
low_14d_dist,102
sma_cross_10_50,99
ema_200,98
flow_momentum_5,98
buy_pressure,97
cvd_change_14,96
volatility_10d,96
vol_sma_50,95
obv_sma_10,93
avg_trade_size_ratio_5,93
volatility_20d,93
volume_density_sma_10,92
vol_sma_20,91
macd_hist,91
atr_pct_21,90
sma_50,90
trades_sma_10,89
ema_100,84
bb_width_20,84
cvd_ma_14,83
return_5d,83
trades_sma_5,82
ext_fgi_change_14d,81
funding_rate_24,81
flow_change_10d,79
buy_pressure_ma_10,79
price_vs_vwap_10,79
high_21d_dist,77
vol_price_corr_10,75
open_interest_24,72
rsi_6,72
atr_pct_14,72
open_interest_14,70
ext_fgi_ma14,70
return_3d,69
macd,69
atr_14,69
bb_pctb_20,66
macd_signal,64
vol_change_3d,64
buy_pressure_ma_5,64
cvd_ma_7,63
ext_fgi_ma7,63
trades_change_1d,62
stoch_k_14,60
return_21d,59
qvol_sma_10,58
ema_50,58
avg_trade_size_ratio_20,58
ema_20,57
bb_upper_20,57
ext_fgi_price_divergence,57
stablecoin_inflow_proxy,56
flow_price_divergence_20,56
avg_trade_size_sma_5,55
avg_trade_size_ratio_10,54
sma_cross_5_20,54
vol_ratio_50,54
flow_price_divergence_10,54
stoch_d_14,53
sma_5,51
vol_change_1d,49
qvol_sma_5,49
rsi_14,49
flow_change_5d,49
volume_density_sma_5,44
avg_trade_size_sma_20,44
regime_price_vs_ma200,44
avg_trade_size_sma_10,44
ext_fgi,42
ext_fgi_change_7d,42
avg_trade_size,42
trades_ratio_20,42
funding_rate_14,37
vol_change_5d,37
price_vs_vwap_20,37
flow_change_3d,36
price_vs_sma_20,35
return_7d,35
vol_sma_5,34
volume_density,33
open_interest_7,32
funding_rate_7,32
vol_sma_10,31
regime_trend_50,30
flow_change_1d,27
sma_20,27
trades_ratio_5,26
trades_ratio_10,26
vol_ratio_10,26
bb_lower_20,24
cvd,24
qvol_ratio_5,23
return_14d,23
trades_change_5d,22
qvol_ratio_10,20
vol_ratio_5,20
qvol_ratio_20,18
vol_ratio_20,18
vwap_10,17
sma_10,16
avg_trade_size_ma_10,12
ema_10,12
volume_density_ma_10,11
vwap_20,10
regime_trend_200,10
volume_density_ma_5,9
avg_trade_size_ma_5,7
avg_trade_size_ma_20,7
regime_ma200_rise,4
regime_sideways,3
regime_ma200_fall,2
ext_fgi_extreme_greed,1
ext_fgi_extreme_fear,0
regime_bull,0
regime_bear,0
regime_vol_high,0
regime_vol_low,0
