feature,importance
low_50d_dist,229
sma_cross_50_200,213
price_vs_sma_200,212
vol_volatility_20,205
trades_sma_20,197
sma_200,194
ext_fgi_std_14,183
low_21d_dist,161
rsi_28,153
flow_momentum_20,151
price_vs_sma_50,150
vol_volatility_10,140
cvd_ma_21,139
buy_pressure_ma_20,139
vol_price_corr_20,135
cvd_change_21,135
high_14d_dist,134
sma_100,125
ext_fgi_ma30,122
obv_sma_20,120
volatility_5d,115
vol_sma_20,115
atr_21,115
volume_density_sma_10,114
atr_pct_21,109
qvol_sma_20,109
flow_momentum_10,108
ema_5,106
high_50d_dist,106
trades_sma_5,101
flow_momentum_5,101
obv,101
macd_hist,101
trades_sma_10,98
sma_cross_10_50,98
obv_sma_10,97
low_14d_dist,95
price_vs_vwap_10,93
sma_50,93
volatility_10d,92
ext_fgi_change_14d,91
return_3d,86
funding_rate_24,86
buy_pressure_ma_10,86
return_1d,84
return_5d,83
cvd_change_7,83
high_21d_dist,82
cvd_change_14,82
stoch_k_14,80
volatility_20d,80
ema_100,79
atr_14,78
open_interest_14,77
cvd_ma_14,77
ext_fgi_ma7,76
vol_sma_50,75
ema_200,73
buy_pressure,72
open_interest_24,70
rsi_6,69
avg_trade_size_sma_5,69
cvd_ma_7,69
ext_fgi_price_divergence,68
avg_trade_size_ratio_20,68
macd_signal,67
ext_fgi_ma14,65
vol_change_3d,64
return_21d,64
price_vs_sma_20,63
macd,63
bb_width_20,63
atr_pct_14,61
vol_price_corr_10,60
sma_cross_5_20,60
qvol_sma_5,59
flow_change_10d,57
stablecoin_inflow_proxy,57
flow_change_5d,56
avg_trade_size_ratio_5,55
bb_pctb_20,54
avg_trade_size_ratio_10,54
trades_ratio_20,53
ema_50,51
flow_price_divergence_20,51
ema_20,51
flow_price_divergence_10,51
rsi_14,50
bb_upper_20,49
vol_change_1d,49
trades_change_1d,49
open_interest_7,47
stoch_d_14,46
avg_trade_size_sma_10,46
qvol_sma_10,45
buy_pressure_ma_5,43
sma_5,43
price_vs_vwap_20,43
vol_ratio_50,42
trades_change_5d,41
return_7d,40
ext_fgi_change_7d,39
funding_rate_7,39
return_14d,38
volume_density_sma_5,37
vol_change_5d,37
cvd,36
bb_lower_20,36
flow_change_3d,36
vol_sma_10,35
funding_rate_14,35
volume_density,34
avg_trade_size_sma_20,33
sma_20,33
ext_fgi,32
avg_trade_size,32
qvol_ratio_10,31
vwap_10,28
vol_sma_5,28
sma_10,24
vwap_20,23
flow_change_1d,22
ema_10,21
qvol_ratio_20,21
trades_ratio_5,20
vol_ratio_20,20
qvol_ratio_5,20
vol_ratio_10,19
vol_ratio_5,19
trades_ratio_10,16
volume_density_ma_10,15
volume_density_ma_5,9
avg_trade_size_ma_20,7
avg_trade_size_ma_5,6
avg_trade_size_ma_10,3
ext_fgi_extreme_greed,2
ext_fgi_extreme_fear,0
