fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.6825396825396826,0.47368421052631576,0.391304347826087,0.6,0.6232057416267942,0.26056338028169024
1,1521,63,0.6031746031746031,0.576271186440678,0.4358974358974359,0.85,0.6015684290412345,0.26981919332406124
2,1542,63,0.8571428571428571,0.7272727272727273,0.7058823529411765,0.75,0.81524926686217,0.6306188925081433
3,1563,63,0.9047619047619048,0.7857142857142857,0.8461538461538461,0.7333333333333333,0.8622448979591837,0.7248908296943232
4,1584,63,0.8412698412698413,0.2857142857142857,0.16666666666666666,1.0,0.5982142857142857,0.2446043165467625
5,1605,63,0.5238095238095238,0.16666666666666666,0.09375,0.75,0.41666666666666663,0.060636182902584546
6,1626,63,0.2222222222222222,0.10909090909090909,0.057692307692307696,1.0,0.20947503201024326,0.020932445290199886
7,1647,63,0.30158730158730157,0.12,0.06382978723404255,1.0,0.27052631578947367,0.0334728033472802
8,1668,63,0.6825396825396826,0.09090909090909091,0.0625,0.16666666666666666,0.4493006993006993,-0.055276381909547645
9,1689,63,0.6666666666666666,0.0,0.0,0.0,0.4,0.0
10,1710,63,0.4603174603174603,0.0,0.0,0.0,0.31521739130434784,0.0
11,1731,63,0.3333333333333333,0.25,0.25925925925925924,0.2413793103448276,0.325,-0.3486238532110091
12,1752,63,0.31746031746031744,0.1568627450980392,0.1111111111111111,0.26666666666666666,0.2917647058823529,-0.27004219409282704
13,1773,63,0.3492063492063492,0.3880597014925373,0.24074074074074073,1.0,0.34657222362762463,0.08306709265175705
14,1794,63,0.7301587301587301,0.7951807228915663,0.66,1.0,0.6999159428411319,0.4447900466562986
15,1815,63,0.6984126984126984,0.7532467532467533,0.6590909090909091,0.8787878787878788,0.6827458256029685,0.38520801232665636
16,1836,63,0.8571428571428571,0.8163265306122449,0.7407407407407407,0.9090909090909091,0.8497217068645639,0.7014218009478673
17,1857,63,0.7301587301587301,0.0,0.0,0.0,0.42201834862385323,-0.05934718100890213
18,1878,63,0.7777777777777778,0.0,0.0,0.0,0.4375,0.0
19,1899,63,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715,0.0
20,1920,63,0.3492063492063492,0.16326530612244897,0.09090909090909091,0.8,0.31539888682745826,0.02417831507366819
21,1941,63,0.47619047619047616,0.1951219512195122,0.12903225806451613,0.4,0.40344332855093257,-0.05909322465613864
22,1962,63,0.7301587301587301,0.10526315789473684,0.1111111111111111,0.1,0.4731923266109198,-0.053097345132743445
23,1983,63,0.6666666666666666,0.08695652173913043,0.05555555555555555,0.2,0.4415365132967497,-0.04255319148936154
24,2004,63,0.4444444444444444,0.0,0.0,0.0,0.3076923076923077,-0.15748031496062986
25,2025,63,0.5714285714285714,0.2702702702702703,0.22727272727272727,0.3333333333333333,0.4834497418767082,-0.017953321364452268
26,2046,63,0.6190476190476191,0.6470588235294118,0.5365853658536586,0.8148148148148148,0.6166328600405679,0.26956521739130423
27,2067,63,0.3492063492063492,0.5176470588235295,0.3492063492063492,1.0,0.25882352941176473,0.0
28,2088,63,0.38095238095238093,0.5301204819277109,0.4,0.7857142857142857,0.3115718688708322,-0.14332247557003241
29,2109,63,0.5396825396825397,0.6588235294117647,0.5185185185185185,0.9032258064516129,0.47575322812051646,0.08968609865470845
30,2130,63,0.6507936507936508,0.5,1.0,0.3333333333333333,0.6158536585365854,0.32258064516129026
31,2151,63,0.7301587301587301,0.6382978723404256,1.0,0.46875,0.711553999461352,0.464767616191904
32,2172,63,0.7936507936507936,0.5517241379310345,1.0,0.38095238095238093,0.7088517596871667,0.45070422535211263
33,2193,63,0.8253968253968254,0.6857142857142857,0.75,0.631578947368421,0.7824175824175824,0.5660613650594866
34,2214,63,0.6031746031746031,0.2857142857142857,0.1724137931034483,0.8333333333333334,0.5054945054945055,0.1518578352180937
35,2235,63,0.3968253968253968,0.09523809523809523,0.05,1.0,0.32142857142857145,0.03700724054706339
36,2256,63,0.38095238095238093,0.04878048780487805,0.02564102564102564,0.5,0.2949784791965567,-0.012360939431396822
37,2277,63,0.1111111111111111,0.0967741935483871,0.05084745762711865,1.0,0.11088709677419355,0.006756756756756688
38,2298,63,0.31746031746031744,0.29508196721311475,0.17307692307692307,1.0,0.3167717528373266,0.06811145510835903
39,2319,63,0.7142857142857143,0.0,0.0,0.0,0.4166666666666667,0.0
40,2340,63,0.47619047619047616,0.15384615384615385,1.0,0.08333333333333333,0.38726790450928383,0.07228915662650592
41,2361,63,0.2857142857142857,0.0,0.0,0.0,0.2222222222222222,0.0
42,2382,63,0.36507936507936506,0.25925925925925924,1.0,0.14893617021276595,0.35185185185185186,0.08163265306122447
43,2403,63,0.7142857142857143,0.47058823529411764,1.0,0.3076923076923077,0.6374680306905371,0.342989571263036
44,2424,63,0.3968253968253968,0.2962962962962963,0.18604651162790697,0.7272727272727273,0.38425925925925924,0.025244299674267223
45,2445,63,0.6984126984126984,0.45714285714285713,0.2962962962962963,1.0,0.6241758241758242,0.3248730964467006
46,2466,63,0.49206349206349204,0.4074074074074074,0.2558139534883721,1.0,0.4814814814814815,0.1791530944625408
47,2487,63,0.30158730158730157,0.3125,0.18867924528301888,0.9090909090909091,0.3014112903225806,0.032798325191905175
48,2508,63,0.2222222222222222,0.3466666666666667,0.20967741935483872,1.0,0.19294117647058823,0.008352071956312379
49,2529,63,0.6507936507936508,0.6666666666666666,0.5,1.0,0.6499999999999999,0.37623762376237624
50,2550,63,0.7142857142857143,0.5,0.6923076923076923,0.391304347826087,0.65,0.32095808383233526
51,2571,63,0.8095238095238095,0.4,0.8,0.26666666666666666,0.6433962264150943,0.318918918918919
52,2592,63,0.7142857142857143,0.3076923076923077,0.5,0.2222222222222222,0.5638461538461539,0.15999999999999992
53,2613,63,0.49206349206349204,0.2727272727272727,1.0,0.15789473684210525,0.44124168514412415,0.1295336787564766
54,2634,63,0.3968253968253968,0.36666666666666664,1.0,0.22448979591836735,0.39545454545454545,0.11398963730569944
55,2655,63,0.38095238095238093,0.09302325581395349,1.0,0.04878048780487805,0.3115718688708322,0.0345776031434184
