feature,importance
price_vs_sma_200,259
vol_volatility_20,237
low_50d_dist,210
sma_200,202
sma_cross_50_200,198
trades_sma_20,186
rsi_28,173
ext_fgi_std_14,171
high_14d_dist,164
low_21d_dist,163
price_vs_sma_50,152
volatility_5d,149
cvd_ma_21,137
buy_pressure_ma_20,137
vol_price_corr_20,134
flow_momentum_20,133
ema_5,131
ext_fgi_ma30,128
vol_volatility_10,125
sma_100,125
obv_sma_10,121
atr_21,114
high_50d_dist,114
obv_sma_20,107
trades_sma_5,107
cvd_change_21,106
return_1d,105
sma_50,104
volatility_10d,104
high_21d_dist,103
cvd_change_14,102
macd_hist,101
ema_200,101
cvd_change_7,101
obv,97
vol_sma_20,95
flow_momentum_5,95
flow_momentum_10,93
qvol_sma_20,92
stoch_k_14,92
atr_pct_21,89
sma_cross_10_50,88
volume_density_sma_10,88
vol_sma_50,88
volatility_20d,87
trades_sma_10,86
buy_pressure_ma_10,85
ext_fgi_change_14d,82
return_5d,82
return_3d,81
vol_price_corr_10,81
low_14d_dist,81
atr_14,81
macd_signal,79
ema_100,78
funding_rate_24,78
price_vs_vwap_10,75
macd,75
cvd_ma_14,74
bb_width_20,73
avg_trade_size_ratio_5,73
open_interest_24,69
cvd_ma_7,67
vol_change_3d,67
ext_fgi_ma7,67
atr_pct_14,67
ext_fgi_ma14,65
rsi_6,65
flow_change_10d,64
open_interest_14,64
ext_fgi_price_divergence,64
trades_change_1d,63
buy_pressure,60
sma_cross_5_20,58
flow_change_5d,57
avg_trade_size_sma_5,57
avg_trade_size_ratio_20,56
bb_pctb_20,56
return_21d,53
vol_change_5d,53
qvol_sma_5,53
buy_pressure_ma_5,52
volume_density,51
rsi_14,51
stablecoin_inflow_proxy,51
bb_upper_20,49
stoch_d_14,47
vol_change_1d,46
ema_50,46
avg_trade_size_ratio_10,46
ext_fgi_change_7d,44
sma_5,43
qvol_sma_10,43
vol_sma_10,43
vol_ratio_50,42
cvd,42
ema_20,41
flow_price_divergence_10,41
avg_trade_size,40
avg_trade_size_sma_20,39
trades_change_5d,39
funding_rate_14,39
price_vs_sma_20,38
open_interest_7,38
flow_price_divergence_20,37
return_7d,37
ext_fgi,36
avg_trade_size_sma_10,33
price_vs_vwap_20,32
funding_rate_7,30
flow_change_3d,28
return_14d,28
qvol_ratio_10,27
vwap_10,27
vol_sma_5,26
volume_density_sma_5,26
qvol_ratio_5,25
bb_lower_20,24
trades_ratio_5,22
flow_change_1d,22
sma_10,21
ema_10,21
vol_ratio_10,21
trades_ratio_10,20
trades_ratio_20,20
vol_ratio_5,19
qvol_ratio_20,18
sma_20,17
avg_trade_size_ma_20,15
volume_density_ma_10,15
vol_ratio_20,13
vwap_20,12
volume_density_ma_5,7
avg_trade_size_ma_5,7
avg_trade_size_ma_10,7
ext_fgi_extreme_fear,1
ext_fgi_extreme_greed,1
