feature,importance
vol_volatility_20,190
sma_cross_50_200,183
low_50d_dist,166
trades_sma_20,158
price_vs_sma_200,154
ext_fgi_std_14,146
bear_max_drawdown,141
rsi_28,140
ema_5,134
obv_sma_20,130
flow_momentum_20,128
vol_volatility_10,127
buy_pressure_ma_20,127
bear_dist_from_ath,118
bear_atr_28,115
low_21d_dist,115
cvd_change_21,112
vol_price_corr_20,111
bear_vol_weighted_rv_7,107
flow_momentum_5,105
price_vs_sma_50,104
obv,103
bear_rv_ratio_5_21,102
high_50d_dist,102
sma_100,102
macd_hist,99
vol_sma_50,98
obv_sma_10,97
low_14d_dist,96
bear_rv_ratio_10_21,95
funding_rate_24,95
bear_vol_weighted_rv_14,95
qvol_sma_20,94
avg_trade_size_sma_20,94
ext_fgi_ma30,94
sma_cross_10_50,93
sma_200,93
cvd_change_7,92
flow_momentum_10,91
open_interest_24,89
atr_pct_21,88
high_14d_dist,86
buy_pressure,86
cvd_ma_21,85
ema_200,85
ema_100,83
cvd_ma_14,82
vol_sma_20,82
high_21d_dist,81
atr_pct_14,81
macd_signal,81
bear_rv_21,78
sma_50,78
bb_width_20,75
rsi_6,75
price_vs_vwap_10,75
trades_sma_5,74
trades_sma_10,72
bb_upper_20,68
vol_price_corr_10,68
ext_fgi_ma14,66
volatility_5d,65
avg_trade_size_sma_5,64
stoch_k_14,63
avg_trade_size_sma_10,63
ext_fgi_change_14d,62
flow_change_5d,62
sma_cross_5_20,62
buy_pressure_ma_10,62
bear_atr_7,61
ext_fgi_price_divergence,60
volatility_10d,58
cvd_change_14,57
atr_21,57
ext_fgi_ma7,57
macd,56
avg_trade_size_ratio_20,55
return_5d,55
ema_20,54
ema_50,54
qvol_sma_10,54
buy_pressure_ma_5,54
vol_change_1d,53
return_21d,52
avg_trade_size_ratio_5,52
open_interest_14,52
cvd_ma_7,52
avg_trade_size_ratio_10,52
trades_change_1d,52
flow_price_divergence_20,51
ext_fgi_change_7d,50
trades_ratio_20,50
return_1d,48
bear_atr_norm_change_28,48
return_3d,47
rsi_14,47
vol_change_3d,47
qvol_sma_5,46
atr_14,46
flow_change_10d,46
volume_density_sma_5,46
volume_density_sma_10,45
avg_trade_size,44
flow_change_3d,43
vol_ratio_50,42
volatility_20d,41
stoch_d_14,41
stablecoin_inflow_proxy,41
flow_price_divergence_10,40
bear_atr_norm_change_7,40
return_7d,39
sma_5,38
bb_pctb_20,38
vol_change_5d,37
trades_change_5d,37
trades_ratio_5,37
cvd,35
vol_sma_10,34
price_vs_sma_20,33
bear_atr_norm_change_14,32
return_14d,30
volume_density,30
vwap_10,30
ext_fgi,30
sma_10,29
vol_sma_5,29
qvol_ratio_10,29
qvol_ratio_20,28
open_interest_7,28
trades_ratio_10,28
funding_rate_14,26
flow_change_1d,26
vol_ratio_10,24
avg_trade_size_ma_20,23
bb_lower_20,23
funding_rate_7,23
price_vs_vwap_20,22
vwap_20,22
vol_ratio_20,22
ema_10,20
vol_ratio_5,19
avg_trade_size_ma_5,18
sma_20,14
qvol_ratio_5,13
bear_rv_10,12
bear_rv_5,11
avg_trade_size_ma_10,9
volume_density_ma_10,8
bear_atr_14,7
volume_density_ma_5,5
bear_vol_high,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
bear_vol_low,0
