feature,importance
dist_from_low_365d,392
vol_volatility_20,374
dist_from_low_90d,307
vix_proxy_change_7,297
sma_cross_50_200,281
fgi_ma_14,266
vix_proxy_14,265
low_14d_dist,259
flow_momentum_20,254
macd_hist,241
vol_volatility_10,238
return_1d,238
sma_200,237
dist_from_low_180d,236
vol_price_corr_20,231
obv,231
liquidity_proxy,230
vix_proxy_30,227
gtrend_proxy_ma_14,212
dist_from_low_30d,210
vol_price_corr_10,210
atr_21,209
vix_proxy_60,204
buy_pressure,199
atr_pct_21,189
buy_pressure_ma_5,187
bb_width_20,186
low_21d_dist,184
cvd_change_21,184
fgi,178
low_50d_dist,176
volatility_20d,175
buy_pressure_ma_10,171
vol_sma_50,169
volatility_5d,168
flow_momentum_10,167
rsi_28,165
price_vs_sma_200,165
avg_trade_size_ratio_20,164
avg_trade_size_ratio_5,162
bb_pctb_20,160
open_interest_14,160
rsi_6,159
dist_from_high_30d,158
cvd_change_7,157
dist_from_high_180d,157
volatility_10d,157
buy_pressure_ma_20,156
cvd_ma_21,155
gtrend_proxy,155
flow_change_10d,155
flow_momentum_5,152
price_vs_sma_50,149
trades_sma_20,149
sma_cross_5_20,140
return_3d,140
high_14d_dist,139
fgi_ma_7,138
trades_sma_5,137
atr_14,136
dist_from_high_365d,135
vol_sma_20,131
avg_trade_size_sma_20,131
qvol_sma_20,130
return_5d,129
dist_from_high_90d,129
obv_sma_20,122
cvd_change_14,122
high_50d_dist,121
trades_sma_10,115
flow_price_divergence_10,111
atr_pct_14,110
flow_price_divergence_20,109
vol_change_1d,107
stoch_k_14,106
cvd_ma_7,102
high_21d_dist,101
vol_sma_10,99
open_interest_24,98
sma_cross_10_50,98
trades_change_1d,96
volume_density_sma_5,94
cvd,90
obv_sma_10,89
qvol_sma_5,89
vol_change_3d,89
stoch_d_14,88
ema_200,88
macd_signal,87
vol_ratio_50,85
flow_change_3d,85
trades_ratio_5,84
flow_change_5d,83
qvol_sma_10,82
avg_trade_size_sma_10,80
sma_100,79
stablecoin_inflow_proxy,77
funding_rate_24,76
price_vs_vwap_10,76
sma_50,75
vol_change_5d,75
volume_density,75
vol_sma_5,72
cvd_ma_14,71
avg_trade_size_sma_5,70
open_interest_7,68
return_7d,67
vol_ratio_5,67
return_14d,66
flow_change_1d,64
return_21d,63
bb_lower_20,63
trades_ratio_20,61
avg_trade_size_ratio_10,60
trades_change_5d,60
sma_10,56
trades_ratio_10,56
volume_density_sma_10,56
rsi_14,55
ema_100,55
ema_5,55
qvol_ratio_10,54
bb_upper_20,53
price_vs_vwap_20,53
volume_spike_30,52
macd,51
price_vs_sma_20,50
avg_trade_size,49
ema_20,48
vol_ratio_10,46
sma_20,44
qvol_ratio_5,44
qvol_ratio_20,43
sma_5,40
funding_rate_7,40
funding_rate_14,39
vol_ratio_20,39
vwap_10,39
volume_density_ma_5,22
ema_10,21
avg_trade_size_ma_20,19
consecutive_down_days,18
ema_50,17
volume_density_ma_10,16
vwap_20,15
avg_trade_size_ma_10,15
avg_trade_size_ma_5,14
volume_spike_10,8
consecutive_up_days,4
fgi_extreme_fear,2
fgi_extreme_greed,0
