fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.3333333333333333,0.38235294117647056,0.24528301886792453,0.8666666666666667,0.3291075050709939,0.017817371937639104
1,1521,63,0.49206349206349204,0.5675675675675675,0.42,0.875,0.47609147609147606,0.10875331564986734
2,1542,63,0.7777777777777778,0.631578947368421,0.7058823529411765,0.5714285714285714,0.736244019138756,0.475
3,1563,63,0.8095238095238095,0.6666666666666666,0.8,0.5714285714285714,0.7666666666666666,0.5384615384615384
4,1584,63,0.7619047619047619,0.2857142857142857,0.17647058823529413,0.75,0.5714285714285714,0.20387531592249375
5,1605,63,0.6031746031746031,0.46808510638297873,0.3142857142857143,0.9166666666666666,0.5758147050902236,0.2574257425742573
6,1626,63,0.5079365079365079,0.5753424657534246,0.40384615384615385,1.0,0.4952184026880331,0.19130434782608685
7,1647,63,0.6031746031746031,0.5614035087719298,0.4444444444444444,0.7619047619047619,0.5995423340961098,0.24242424242424243
8,1668,63,0.7619047619047619,0.5714285714285714,0.5555555555555556,0.5882352941176471,0.7032967032967032,0.4067796610169492
9,1689,63,0.6349206349206349,0.34285714285714286,0.35294117647058826,0.3333333333333333,0.5450549450549451,0.09039548022598864
10,1710,63,0.6825396825396826,0.09090909090909091,1.0,0.047619047619047616,0.4493006993006993,0.06250000000000011
11,1731,63,0.7619047619047619,0.6666666666666666,0.75,0.6,0.7407407407407407,0.4850136239782016
12,1752,63,0.6825396825396826,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4852941176470588,-0.02941176470588247
13,1773,63,0.5396825396825397,0.06451612903225806,0.047619047619047616,0.1,0.37962648556876066,-0.1917808219178081
14,1794,63,0.5238095238095238,0.4642857142857143,0.3170731707317073,0.8666666666666667,0.5178571428571428,0.17754569190600522
15,1815,63,0.8571428571428571,0.64,1.0,0.47058823529411764,0.7754455445544555,0.5648503453568687
16,1836,63,0.7777777777777778,0.2222222222222222,1.0,0.125,0.5462962962962963,0.17570093457943925
17,1857,63,0.5873015873015873,0.13333333333333333,0.07142857142857142,1.0,0.43124999999999997,0.07874015748031493
18,1878,63,0.6825396825396826,0.0,0.0,0.0,0.4056603773584906,0.0
19,1899,63,0.9365079365079365,0.3333333333333333,0.2,1.0,0.65,0.3152173913043479
20,1920,63,0.7936507936507936,0.13333333333333333,0.1111111111111111,0.16666666666666666,0.5081081081081081,0.02150537634408589
21,1941,63,0.7936507936507936,0.3157894736842105,0.42857142857142855,0.25,0.5971470732907034,0.20408163265306112
22,1962,63,0.6825396825396826,0.09090909090909091,0.25,0.05555555555555555,0.4493006993006993,-0.014492753623188248
23,1983,63,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715,-0.2838427947598252
24,2004,63,0.49206349206349204,0.23809523809523808,0.16666666666666666,0.4166666666666667,0.4285714285714286,-0.04672897196261694
