fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.4603174603174603,0.15,0.1,0.3,0.37732558139534883,-0.11562500000000009
1,1521,63,0.7142857142857143,0.0,0.0,0.0,0.4166666666666667,0.0
2,1542,63,0.4603174603174603,0.0,0.0,0.0,0.31521739130434784,0.0
3,1563,63,0.5238095238095238,0.0,0.0,0.0,0.34375,0.0
4,1584,63,0.6031746031746031,0.0,0.0,0.0,0.37623762376237624,0.0
5,1605,63,0.5238095238095238,0.0,0.0,0.0,0.34375,0.0
6,1626,63,0.47619047619047616,0.0,0.0,0.0,0.3225806451612903,0.0
7,1647,63,0.38095238095238093,0.0,0.0,0.0,0.27586206896551724,0.0
8,1668,63,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715,0.0
9,1689,63,0.6349206349206349,0.0,0.0,0.0,0.3883495145631068,0.0
10,1710,63,0.3492063492063492,0.4225352112676056,0.26785714285714285,1.0,0.3385403329065301,0.07518796992481191
11,1731,63,0.23809523809523808,0.1724137931034483,0.09433962264150944,1.0,0.2332657200811359,0.03201024327784885
12,1752,63,0.6825396825396826,0.0,0.0,0.0,0.4056603773584906,-0.18644067796610164
13,1773,63,0.8412698412698413,0.0,0.0,0.0,0.45689655172413796,0.0
14,1794,63,0.746031746031746,0.0,0.0,0.0,0.42727272727272725,0.0
15,1815,63,0.6984126984126984,0.0,0.0,0.0,0.411214953271028,0.0
16,1836,63,0.5873015873015873,0.0,0.0,0.0,0.37,0.0
17,1857,63,0.47619047619047616,0.0,0.0,0.0,0.3225806451612903,0.0
18,1878,63,0.42857142857142855,0.0,0.0,0.0,0.3,0.0
19,1899,63,0.5555555555555556,0.0,0.0,0.0,0.35714285714285715,0.0
20,1920,63,0.7619047619047619,0.0,0.0,0.0,0.43243243243243246,0.0
21,1941,63,0.5873015873015873,0.1875,0.15789473684210525,0.23076923076923078,0.4554521276595745,-0.07621550591327209
22,1962,63,0.8095238095238095,0.0,0.0,0.0,0.4473684210526316,0.0
23,1983,63,0.8095238095238095,0.0,0.0,0.0,0.4473684210526316,0.0
24,2004,63,0.8888888888888888,0.0,0.0,0.0,0.47058823529411764,0.0
25,2025,63,0.7619047619047619,0.0,0.0,0.0,0.43243243243243246,0.0
26,2046,63,0.6825396825396826,0.0,0.0,0.0,0.4056603773584906,0.0
27,2067,63,0.6031746031746031,0.0,0.0,0.0,0.37623762376237624,0.0
28,2088,63,0.6031746031746031,0.0,0.0,0.0,0.37623762376237624,0.0
29,2109,63,0.3492063492063492,0.0,0.0,0.0,0.25882352941176473,0.0
30,2130,63,0.3333333333333333,0.0,0.0,0.0,0.25,0.0
31,2151,63,0.4444444444444444,0.0,0.0,0.0,0.3076923076923077,0.0
32,2172,63,0.6507936507936508,0.0,0.0,0.0,0.3942307692307692,0.0
