feature,importance
obv,288
ext_fr_ma_30,252
low_14d_dist,204
ext_btc_ndx_corr_20d,199
macd_hist,198
vol_volatility_10,190
ext_btc_tnx_corr_60d,184
trades_sma_5,181
ext_btc_tnx_corr_20d,180
return_1d,178
ext_dxy,176
ext_vix,172
ext_tnx_vs_ma20,168
ext_dxy_vs_ma50,167
vol_volatility_20,167
sma_100,160
atr_pct_21,160
ext_btc_dxy_corr_20d,159
volatility_20d,157
high_50d_dist,148
ext_spx,146
flow_momentum_10,141
atr_pct_14,141
bb_pctb_20,140
flow_momentum_20,140
ext_tnx_ret_20d,136
ext_btc_vix_corr_20d,133
ext_dxy_vol_20d,130
rsi_6,129
ext_btc_ndx_corr_60d,127
price_vs_sma_200,127
vol_price_corr_20,126
ext_gold,125
ext_gold_vol_20d,123
rsi_28,121
low_21d_dist,116
ext_btc_gold_corr_60d,114
volatility_10d,112
avg_trade_size_ratio_5,111
ext_btc_vix_corr_60d,110
ext_gold_ret_10d,109
sma_cross_10_50,106
ext_dxy_ret_20d,103
price_vs_sma_50,101
ext_btc_spx_corr_20d,101
ext_gold_ret_5d,100
ext_fgi_std_14,95
bb_width_20,95
ext_gold_vs_ma50,94
high_21d_dist,89
funding_rate_24,87
ext_fr_std_7,84
ext_gold_vs_ma10,82
ext_gold_ret_20d,82
return_5d,82
ext_vix_vs_ma10,82
return_3d,79
ext_fgi_change_14d,78
ext_vix_ret_5d,72
ext_dxy_vs_ma20,62
