feature,importance
ext_fr_ma_30,342
vol_volatility_20,341
ext_btc_ndx_corr_20d,320
sma_200,288
ext_dxy,283
low_14d_dist,271
ext_ndx_vs_ma50,271
ext_btc_tnx_corr_20d,267
ext_dxy_vol_20d,266
ext_btc_dxy_corr_20d,255
sma_100,253
ext_fr_std_7,238
macd_hist,234
flow_momentum_20,232
ext_btc_gold_corr_20d,230
high_50d_dist,229
ext_fgi_std_14,228
vol_price_corr_10,224
vol_volatility_10,221
ext_gold,220
ext_btc_dxy_corr_60d,218
volatility_20d,215
ext_btc_vix_corr_20d,213
cvd_change_14,213
ext_gold_ret_20d,211
bb_pctb_20,210
ext_dxy_vs_ma50,210
sma_cross_10_50,208
price_vs_sma_50,205
ext_tnx_vs_ma20,202
high_14d_dist,200
ext_tnx_ret_20d,198
funding_rate_24,197
flow_change_10d,191
return_1d,186
ext_fgi_change_7d,184
ext_dxy_ret_10d,182
ext_gold_vs_ma50,181
flow_momentum_10,178
ext_gold_vs_ma10,177
cvd_change_21,171
buy_pressure,171
avg_trade_size_ratio_20,167
avg_trade_size_ratio_5,162
volatility_5d,159
ext_gold_ret_10d,156
ext_gold_vs_ma20,153
high_21d_dist,152
return_5d,150
ext_gold_ret_5d,148
ext_dxy_vs_ma20,146
flow_momentum_5,138
ext_spx_ret_5d,134
ext_spx_ret_10d,123
stoch_d_14,123
flow_price_divergence_20,121
ext_vix_ret_1d,100
flow_change_1d,98
ext_dxy_ret_1d,94
ext_gold_ret_1d,42
