feature,importance
vol_volatility_20,214
sma_cross_50_200,212
ext_fgi_ma30,206
sma_200,194
price_vs_sma_200,186
low_14d_dist,177
ext_fgi_std_14,175
low_50d_dist,174
flow_momentum_20,167
vol_price_corr_20,167
obv_sma_20,163
return_1d,158
volatility_10d,157
volatility_20d,151
buy_pressure_ma_5,150
rsi_28,149
atr_pct_21,147
macd_hist,146
vol_volatility_10,144
obv,143
atr_21,143
flow_momentum_10,137
buy_pressure_ma_10,136
ext_fgi_change_14d,136
vol_price_corr_10,133
vol_sma_50,132
low_21d_dist,132
bb_width_20,130
price_vs_sma_50,127
buy_pressure,120
cvd_change_14,119
cvd_change_21,119
avg_trade_size_ratio_20,118
high_50d_dist,115
buy_pressure_ma_20,113
volatility_5d,111
rsi_6,110
vol_sma_20,109
cvd_ma_21,106
return_3d,105
avg_trade_size_ratio_5,99
ext_fgi_price_divergence,99
flow_momentum_5,98
trades_sma_20,98
ema_200,97
avg_trade_size_sma_20,97
cvd_change_7,93
high_14d_dist,92
trades_sma_5,92
atr_14,92
sma_100,91
trades_sma_10,89
macd_signal,87
flow_price_divergence_10,86
funding_rate_24,85
high_21d_dist,85
qvol_sma_20,82
sma_cross_5_20,81
flow_price_divergence_20,79
return_5d,75
vol_sma_10,75
vol_change_1d,75
ext_fgi_ma14,72
open_interest_24,72
ext_fgi,71
stoch_d_14,71
open_interest_14,70
trades_change_1d,70
ema_5,70
bb_pctb_20,70
obv_sma_10,69
ema_100,69
stoch_k_14,68
sma_cross_10_50,68
ext_fgi_ma7,68
atr_pct_14,66
volume_density_sma_10,65
trades_change_5d,65
avg_trade_size_sma_10,65
ext_fgi_change_7d,65
flow_change_10d,65
avg_trade_size_ratio_10,62
price_vs_vwap_10,61
cvd_ma_7,60
qvol_sma_5,59
cvd,58
cvd_ma_14,55
volume_density_sma_5,55
vol_ratio_50,54
trades_ratio_20,54
flow_change_3d,53
bb_lower_20,53
price_vs_vwap_20,51
sma_50,50
qvol_sma_10,50
vol_change_3d,50
open_interest_7,49
avg_trade_size,49
trades_ratio_5,49
return_7d,49
stablecoin_inflow_proxy,47
vol_change_5d,47
price_vs_sma_20,46
qvol_ratio_10,46
flow_change_1d,44
return_21d,44
volume_density,44
return_14d,43
bb_upper_20,42
funding_rate_7,39
flow_change_5d,39
rsi_14,38
funding_rate_14,38
qvol_ratio_20,37
vol_sma_5,37
macd,36
sma_5,36
vol_ratio_10,35
sma_20,34
avg_trade_size_sma_5,34
vol_ratio_5,32
ema_20,31
trades_ratio_10,31
vwap_10,29
ema_50,28
avg_trade_size_ma_20,26
ema_10,26
vol_ratio_20,22
qvol_ratio_5,20
sma_10,18
volume_density_ma_10,17
volume_density_ma_5,12
avg_trade_size_ma_5,12
vwap_20,10
avg_trade_size_ma_10,8
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
