feature,importance
vol_volatility_20,238
sma_cross_50_200,225
vol_price_corr_20,185
ext_fgi_ma30,175
trades_sma_20,174
atr_21,172
price_vs_sma_50,171
low_50d_dist,168
flow_momentum_20,163
atr_pct_21,158
buy_pressure_ma_20,146
flow_momentum_10,146
macd_hist,143
price_vs_sma_200,141
sma_200,140
vol_price_corr_10,137
ext_fgi_std_14,136
avg_trade_size_sma_20,132
cvd_ma_21,129
return_3d,126
rsi_28,126
vol_volatility_10,125
high_50d_dist,124
obv_sma_20,123
funding_rate_24,121
cvd_change_21,118
volatility_10d,118
volatility_5d,118
low_21d_dist,112
bb_width_20,111
cvd_change_14,109
low_14d_dist,106
volatility_20d,105
qvol_sma_20,103
bb_upper_20,103
vol_ratio_50,101
buy_pressure_ma_10,99
obv,98
buy_pressure,94
buy_pressure_ma_5,94
cvd_ma_14,93
stoch_k_14,93
sma_100,92
ema_200,91
return_1d,91
atr_pct_14,90
vol_sma_50,89
ext_fgi_change_14d,88
ext_fgi_ma14,87
high_21d_dist,87
trades_sma_10,84
open_interest_14,84
avg_trade_size_sma_5,83
flow_momentum_5,80
price_vs_vwap_10,80
atr_14,79
cvd_change_7,79
sma_cross_5_20,77
ext_fgi_ma7,76
rsi_6,75
ext_fgi_price_divergence,74
return_5d,74
stoch_d_14,73
ema_20,71
open_interest_24,69
macd,68
vol_sma_20,67
vol_ratio_5,66
flow_price_divergence_10,66
qvol_sma_5,66
avg_trade_size_ratio_20,65
rsi_14,65
avg_trade_size_ratio_5,64
trades_change_1d,64
avg_trade_size_sma_10,63
trades_ratio_20,63
cvd_ma_7,62
sma_50,62
ema_5,62
ema_50,61
ema_100,61
stablecoin_inflow_proxy,60
avg_trade_size_ratio_10,59
trades_change_5d,58
sma_5,58
flow_price_divergence_20,57
return_21d,57
obv_sma_10,57
bb_pctb_20,56
qvol_sma_10,56
ext_fgi,54
volume_density,54
macd_signal,54
high_14d_dist,54
trades_ratio_10,51
sma_cross_10_50,50
trades_sma_5,49
volume_density_sma_10,47
vol_sma_10,45
ema_10,45
return_7d,44
flow_change_10d,44
ext_fgi_change_7d,44
open_interest_7,44
return_14d,43
avg_trade_size,43
vol_change_1d,40
cvd,38
price_vs_sma_20,38
trades_ratio_5,37
bb_lower_20,37
flow_change_5d,37
vol_change_3d,36
flow_change_3d,33
vol_change_5d,32
vol_ratio_10,32
price_vs_vwap_20,31
funding_rate_14,31
vwap_20,29
vol_sma_5,28
qvol_ratio_10,27
volume_density_sma_5,25
avg_trade_size_ma_20,23
vol_ratio_20,23
qvol_ratio_20,22
sma_20,21
sma_10,21
qvol_ratio_5,21
funding_rate_7,17
flow_change_1d,13
avg_trade_size_ma_5,13
avg_trade_size_ma_10,12
vwap_10,12
volume_density_ma_10,7
volume_density_ma_5,5
ext_fgi_extreme_fear,1
ext_fgi_extreme_greed,0
