feature,importance
vol_volatility_20,225
rsi_28,180
vol_price_corr_20,180
sma_cross_50_200,171
ext_fr_ma_30,169
price_vs_sma_200,165
atr_21,164
vol_price_corr_10,158
high_50d_dist,153
flow_momentum_20,148
return_1d,144
low_50d_dist,144
vol_volatility_10,141
trades_sma_20,141
macd_hist,139
low_14d_dist,138
sma_100,138
volatility_10d,137
buy_pressure_ma_20,137
price_vs_sma_50,135
volatility_5d,132
ext_fr_zscore,130
ext_fr_std_30,128
flow_momentum_10,128
bb_width_20,126
cvd_change_21,115
low_21d_dist,114
cvd_change_14,112
obv,108
ext_fr_std_7,107
flow_momentum_5,106
qvol_sma_20,106
atr_pct_21,105
volatility_20d,103
high_14d_dist,100
return_3d,99
vol_sma_50,96
funding_rate_24,96
high_21d_dist,96
open_interest_14,94
ext_fr_ma_7,93
ema_200,93
stoch_k_14,89
sma_200,88
cvd_change_7,87
sma_cross_5_20,86
atr_14,86
trades_sma_10,85
obv_sma_20,85
ext_fr_ma_14,84
qvol_sma_5,81
ext_fr_std_14,80
vol_ratio_50,78
avg_trade_size_ratio_10,77
cvd_ma_21,77
qvol_sma_10,77
buy_pressure_ma_10,75
trades_sma_5,75
atr_pct_14,75
bb_pctb_20,75
open_interest_7,74
sma_cross_10_50,71
avg_trade_size_ratio_20,70
avg_trade_size_sma_20,69
buy_pressure_ma_5,68
price_vs_sma_20,68
return_5d,68
cvd_ma_7,67
obv_sma_10,66
avg_trade_size_sma_5,63
avg_trade_size_ratio_5,62
stoch_d_14,61
avg_trade_size_sma_10,61
open_interest_24,59
price_vs_vwap_10,59
return_21d,59
macd_signal,56
cvd_ma_14,55
rsi_14,55
bb_lower_20,54
flow_price_divergence_10,53
vol_sma_20,53
trades_change_1d,52
sma_5,52
macd,50
buy_pressure,50
stablecoin_inflow_proxy,50
ema_100,49
rsi_6,49
trades_ratio_20,48
flow_price_divergence_20,48
flow_change_5d,47
trades_ratio_5,46
sma_50,46
flow_change_10d,44
ema_5,43
return_14d,42
price_vs_vwap_20,41
ema_20,40
bb_upper_20,40
ext_fr_cumsum_30,40
ema_50,39
vol_sma_10,38
return_7d,37
funding_rate_14,36
volume_density,35
cvd,33
trades_change_5d,33
vol_change_3d,32
trades_ratio_10,32
vol_ratio_10,31
volume_density_sma_10,30
ext_funding_rate_max,30
ext_funding_rate_mean,29
vol_change_1d,28
avg_trade_size,28
vol_sma_5,27
vwap_20,27
qvol_ratio_10,27
ext_funding_rate_min,26
qvol_ratio_5,26
flow_change_1d,25
avg_trade_size_ma_20,24
volume_density_sma_5,24
vol_ratio_5,21
sma_10,20
vol_change_5d,20
ema_10,18
vol_ratio_20,17
ext_fr_cumsum_14,17
flow_change_3d,16
avg_trade_size_ma_10,15
qvol_ratio_20,14
sma_20,14
funding_rate_7,12
ext_fr_cumsum_7,9
avg_trade_size_ma_5,7
volume_density_ma_5,6
ext_funding_rate_sum,6
vwap_10,5
volume_density_ma_10,4
ext_fr_extreme_high,0
ext_fr_extreme_low,0
