feature,importance
ext_btc_tnx_corr_60d,184
ext_btc_vix_corr_60d,171
vol_volatility_20,161
price_vs_sma_50,156
sma_cross_50_200,155
ext_btc_tnx_corr_20d,141
ext_dxy_vol_20d,133
ext_btc_spx_corr_60d,128
vol_price_corr_20,126
low_50d_dist,125
ext_btc_dxy_corr_60d,119
atr_pct_21,118
flow_momentum_20,118
ext_gold_vol_20d,118
ext_vix_vol_20d,114
ext_btc_dxy_corr_20d,110
macd_hist,109
ext_vix,107
ext_tnx,106
return_3d,105
return_1d,104
ext_spx_vol_20d,103
funding_rate_24,103
stoch_k_14,98
ext_ndx_vol_20d,97
low_21d_dist,97
trades_sma_20,92
ext_tnx_ret_20d,92
ext_dxy_vs_ma50,91
bb_width_20,91
volatility_5d,89
obv,88
ext_vix_ret_20d,87
vol_volatility_10,87
atr_21,86
high_50d_dist,86
vol_price_corr_10,86
ext_tnx_vol_20d,85
ext_btc_vix_corr_20d,84
flow_momentum_10,84
ext_dxy,84
ext_tnx_vs_ma20,82
ext_gold_ret_5d,82
rsi_28,81
price_vs_sma_200,81
ext_btc_ndx_corr_20d,80
ext_btc_gold_corr_20d,80
ext_btc_gold_corr_60d,79
ext_gold_ret_20d,79
low_14d_dist,72
ext_gold_ret_10d,71
ext_dxy_ret_20d,71
sma_200,71
high_21d_dist,71
cvd_change_14,70
cvd_change_21,70
open_interest_14,67
ext_tnx_vs_ma50,67
buy_pressure_ma_20,67
ext_dxy_ret_10d,66
ext_gold_vs_ma50,65
volatility_10d,64
ext_gold_vs_ma10,64
atr_pct_14,64
ext_tnx_ret_5d,62
rsi_6,61
ext_dxy_ret_5d,60
flow_momentum_5,60
high_14d_dist,59
qvol_sma_5,58
ext_vix_ret_5d,58
ext_vix_vs_ma50,58
qvol_sma_20,57
cvd_ma_7,57
ext_vix_ret_10d,56
price_vs_vwap_10,56
ext_spx_ret_10d,56
ext_ndx_ret_10d,56
return_5d,55
vol_sma_50,55
ext_dxy_vs_ma20,55
trades_sma_10,55
ext_dxy_vs_ma10,55
qvol_sma_10,55
buy_pressure_ma_10,54
sma_cross_5_20,54
ext_tnx_ret_10d,54
vol_ratio_50,54
obv_sma_20,54
volatility_20d,54
ext_spx_ret_20d,53
sma_100,52
ext_ndx_ret_5d,52
cvd_change_7,52
ext_ndx_vs_ma50,52
ext_spx_vs_ma50,52
flow_price_divergence_20,51
ext_btc_spx_corr_20d,51
buy_pressure,51
obv_sma_10,51
ext_ndx_vs_ma10,50
ext_gold_vs_ma20,50
ext_btc_ndx_corr_60d,49
ext_ndx_ret_20d,49
bb_pctb_20,48
avg_trade_size_sma_20,48
atr_14,47
return_14d,47
avg_trade_size_sma_5,47
buy_pressure_ma_5,47
ext_spx_vs_ma20,46
ext_tnx_vs_ma10,46
ext_dxy_ret_1d,46
avg_trade_size_ratio_5,46
open_interest_7,45
ema_100,45
avg_trade_size_ratio_20,44
ext_vix_vs_ma20,44
ema_200,43
vol_ratio_5,42
ext_gold,42
trades_ratio_20,41
ema_5,41
ext_ndx,41
macd,40
ext_spx_ret_5d,40
trades_sma_5,40
ext_spx,40
cvd_ma_21,39
sma_cross_10_50,37
ext_vix_vs_ma10,37
ext_spx_vs_ma10,37
volume_density_sma_10,37
return_21d,36
vol_sma_5,36
stoch_d_14,36
open_interest_24,36
ema_10,35
macd_signal,34
cvd_ma_14,34
trades_change_5d,34
trades_ratio_10,33
vol_sma_20,33
trades_change_1d,31
flow_change_5d,31
avg_trade_size_sma_10,31
flow_change_10d,30
vol_sma_10,30
ema_20,30
avg_trade_size_ratio_10,30
bb_upper_20,30
stablecoin_inflow_proxy,29
vol_change_1d,29
cvd,29
funding_rate_14,29
ext_gold_ret_1d,29
ext_spx_ret_1d,28
ext_ndx_vs_ma20,28
volume_density,27
trades_ratio_5,27
flow_price_divergence_10,26
ext_ndx_ret_1d,26
price_vs_sma_20,25
avg_trade_size,24
qvol_ratio_5,24
flow_change_1d,24
flow_change_3d,24
rsi_14,24
price_vs_vwap_20,23
ext_tnx_ret_1d,22
return_7d,21
sma_50,21
volume_density_sma_5,21
ema_50,21
vol_ratio_20,20
funding_rate_7,20
sma_5,19
ext_vix_ret_1d,18
vol_change_3d,18
vol_change_5d,18
qvol_ratio_20,15
sma_20,14
vol_ratio_10,14
bb_lower_20,13
vwap_20,13
vwap_10,10
avg_trade_size_ma_20,9
avg_trade_size_ma_10,8
sma_10,8
qvol_ratio_10,7
avg_trade_size_ma_5,5
volume_density_ma_10,2
volume_density_ma_5,2
