feature,importance
vol_volatility_20,261
sma_cross_50_200,226
vol_price_corr_20,202
low_50d_dist,187
flow_momentum_20,187
price_vs_sma_50,184
price_vs_sma_200,182
volatility_10d,171
trades_sma_20,166
sma_200,165
atr_pct_21,163
atr_21,154
bb_width_20,152
vol_price_corr_10,149
rsi_28,147
high_50d_dist,146
macd_hist,146
low_21d_dist,143
vol_volatility_10,140
buy_pressure_ma_20,140
flow_momentum_10,135
return_3d,132
avg_trade_size_sma_20,130
volatility_20d,125
cvd_change_14,120
volatility_5d,119
vol_sma_50,117
obv,112
funding_rate_24,112
open_interest_14,109
cvd_ma_21,107
return_1d,107
cvd_change_21,106
atr_14,105
obv_sma_20,104
qvol_sma_20,103
stoch_k_14,103
high_21d_dist,101
vol_ratio_50,100
buy_pressure,94
sma_cross_5_20,93
ema_200,93
buy_pressure_ma_5,92
low_14d_dist,91
buy_pressure_ma_10,90
cvd_change_7,88
cvd_ma_14,84
rsi_6,83
bb_upper_20,82
high_14d_dist,81
sma_100,81
flow_price_divergence_20,80
stablecoin_inflow_proxy,79
sma_cross_10_50,78
atr_pct_14,77
trades_sma_10,77
avg_trade_size_ratio_10,76
ema_100,75
avg_trade_size_sma_5,75
flow_momentum_5,73
avg_trade_size_sma_10,71
return_21d,71
bb_pctb_20,70
return_5d,69
ema_20,68
obv_sma_10,68
avg_trade_size_ratio_20,66
open_interest_24,65
macd,64
trades_ratio_20,64
vol_sma_20,64
trades_change_1d,63
stoch_d_14,62
rsi_14,61
trades_sma_5,61
avg_trade_size,60
macd_signal,57
open_interest_7,57
price_vs_vwap_10,56
trades_ratio_5,55
flow_price_divergence_10,54
avg_trade_size_ratio_5,54
cvd_ma_7,53
volume_density_sma_10,53
vol_sma_10,52
qvol_sma_5,52
trades_change_5d,52
ema_5,52
volume_density,50
vol_ratio_5,49
bb_lower_20,49
qvol_sma_10,48
return_14d,44
ema_50,44
trades_ratio_10,43
sma_5,40
ema_10,39
sma_50,38
price_vs_sma_20,38
vol_change_1d,38
vol_sma_5,37
price_vs_vwap_20,36
funding_rate_7,35
cvd,35
return_7d,32
flow_change_10d,31
vol_change_5d,31
flow_change_3d,30
funding_rate_14,30
vol_change_3d,29
vol_ratio_10,28
vwap_10,27
qvol_ratio_10,26
volume_density_sma_5,25
avg_trade_size_ma_20,24
flow_change_5d,24
vwap_20,22
vol_ratio_20,21
sma_10,21
flow_change_1d,19
qvol_ratio_20,19
sma_20,19
avg_trade_size_ma_10,11
qvol_ratio_5,11
avg_trade_size_ma_5,7
volume_density_ma_5,4
volume_density_ma_10,4
