feature,importance
flow_momentum_20,320
vol_volatility_20,260
vol_price_corr_20,246
low_50d_dist,220
vol_volatility_10,213
volatility_10d,197
price_vs_sma_200,195
low_21d_dist,189
cvd_change_21,182
atr_pct_21,170
vol_price_corr_10,169
volatility_5d,167
bb_width_20,159
atr_14,157
sma_cross_50_200,157
low_14d_dist,153
volatility_20d,149
buy_pressure_ma_20,145
price_vs_sma_50,142
macd_hist,141
rsi_28,140
trades_sma_20,138
ema_200,137
flow_momentum_10,136
cvd_change_14,133
obv_sma_20,132
obv,130
high_50d_dist,129
atr_pct_14,126
open_interest_14,124
sma_200,123
avg_trade_size_sma_20,122
return_1d,122
vol_sma_50,116
funding_rate_24,115
atr_21,113
macd_signal,109
stoch_d_14,109
buy_pressure,107
buy_pressure_ma_10,105
cvd_ma_14,103
buy_pressure_ma_5,100
cvd_change_7,100
avg_trade_size_sma_10,100
high_21d_dist,98
avg_trade_size_ratio_20,93
ema_50,90
cvd_ma_21,87
qvol_sma_5,86
return_3d,86
avg_trade_size_ratio_5,85
trades_sma_10,79
cvd_ma_7,79
qvol_sma_10,78
rsi_6,78
high_14d_dist,77
sma_cross_10_50,76
vol_change_1d,76
open_interest_24,76
flow_momentum_5,75
sma_100,75
macd,75
ema_100,74
vol_ratio_50,74
sma_5,74
obv_sma_10,73
return_21d,71
avg_trade_size_sma_5,71
flow_price_divergence_20,69
avg_trade_size_ratio_10,69
price_vs_vwap_10,68
ema_5,68
rsi_14,68
flow_price_divergence_10,68
avg_trade_size,66
sma_50,65
vol_sma_20,64
sma_cross_5_20,63
trades_sma_5,62
return_5d,61
bb_upper_20,60
volume_density_sma_5,60
stoch_k_14,60
open_interest_7,58
stablecoin_inflow_proxy,57
sma_10,55
qvol_sma_20,54
volume_density,54
flow_change_10d,51
bb_pctb_20,50
vol_sma_10,49
vol_sma_5,47
trades_ratio_20,47
return_14d,46
trades_change_1d,45
volume_density_sma_10,43
return_7d,43
bb_lower_20,42
ema_20,38
price_vs_sma_20,38
flow_change_3d,36
vol_change_3d,34
cvd,34
trades_change_5d,33
vwap_10,33
ema_10,32
trades_ratio_10,30
qvol_ratio_5,29
funding_rate_7,29
price_vs_vwap_20,29
trades_ratio_5,28
funding_rate_14,27
vwap_20,27
flow_change_5d,25
flow_change_1d,25
avg_trade_size_ma_10,25
vol_change_5d,23
vol_ratio_5,23
vol_ratio_10,23
avg_trade_size_ma_5,21
qvol_ratio_10,20
avg_trade_size_ma_20,20
sma_20,18
vol_ratio_20,18
qvol_ratio_20,16
volume_density_ma_10,12
volume_density_ma_5,8
