feature,importance
dist_from_low_365d,611
dist_from_low_90d,598
vol_volatility_20,571
dist_from_low_180d,565
sma_cross_50_200,444
trades_sma_20,443
price_vs_sma_200,426
vix_proxy_14,408
fgi_ma_14,406
low_50d_dist,398
sma_200,396
dist_from_high_180d,392
flow_momentum_5,383
vix_proxy_change_7,383
dist_from_low_30d,382
obv,379
return_1d,370
vix_proxy_60,367
vol_price_corr_20,367
obv_sma_20,366
gtrend_proxy,362
vol_sma_20,353
high_14d_dist,344
dist_from_high_30d,343
price_vs_sma_50,335
macd_hist,334
vol_volatility_10,329
dist_from_high_90d,328
gtrend_proxy_ma_14,326
obv_sma_10,319
liquidity_proxy,317
flow_momentum_10,316
high_50d_dist,310
bb_width_20,304
low_21d_dist,303
flow_momentum_20,301
volatility_5d,298
atr_pct_21,291
dist_from_high_365d,291
volatility_20d,288
atr_21,278
sma_100,269
trades_sma_10,267
vol_sma_50,263
ema_200,261
ema_100,255
return_5d,253
high_21d_dist,250
fgi_ma_7,248
bb_upper_20,244
vol_price_corr_10,240
rsi_6,237
stoch_k_14,234
rsi_28,228
fgi,216
avg_trade_size_sma_10,214
stoch_d_14,214
price_vs_vwap_10,211
avg_trade_size_ratio_5,210
sma_50,201
low_14d_dist,197
sma_cross_5_20,196
sma_cross_10_50,194
qvol_sma_20,192
vix_proxy_30,190
bb_pctb_20,190
trades_sma_5,190
avg_trade_size_ratio_20,189
volatility_10d,185
flow_price_divergence_20,183
atr_pct_14,180
return_21d,174
flow_change_10d,172
flow_price_divergence_10,165
rsi_14,163
trades_ratio_5,160
avg_trade_size_sma_5,160
atr_14,159
trades_change_1d,159
avg_trade_size_sma_20,158
macd_signal,154
return_3d,154
volume_density_sma_10,151
return_7d,150
return_14d,150
macd,148
vol_change_3d,142
avg_trade_size,137
vol_change_5d,135
vol_ratio_50,135
flow_change_5d,134
sma_5,134
trades_change_5d,134
qvol_sma_5,131
volume_density_sma_5,131
price_vs_sma_20,125
ema_5,125
ema_50,124
vol_sma_10,123
vol_ratio_5,121
price_vs_vwap_20,121
vol_change_1d,118
bb_lower_20,117
volume_density,116
trades_ratio_20,111
trades_ratio_10,107
flow_change_3d,106
ema_20,104
vol_sma_5,91
qvol_sma_10,89
avg_trade_size_ratio_10,79
flow_change_1d,69
qvol_ratio_10,65
qvol_ratio_5,62
sma_20,60
vwap_10,55
ema_10,55
volume_spike_30,51
vol_ratio_10,45
qvol_ratio_20,44
vol_ratio_20,33
sma_10,33
vwap_20,32
consecutive_up_days,30
consecutive_down_days,16
volume_spike_10,10
fgi_extreme_greed,0
fgi_extreme_fear,0
