fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,cohen_kappa
0,800,63,0.6825396825396826,0.8113207547169812,0.6825396825396826,1.0,0.0
1,842,63,0.4126984126984127,0.44776119402985076,0.28846153846153844,1.0,0.12401352874859084
2,884,63,0.30158730158730157,0.4634146341463415,0.30158730158730157,1.0,0.0
3,926,63,0.5079365079365079,0.6593406593406593,0.5263157894736842,0.8823529411764706,-0.05169628432956386
4,968,63,0.3333333333333333,0.16,0.2,0.13333333333333333,-0.3569230769230771
5,1010,63,0.4126984126984127,0.3018867924528302,0.42105263157894735,0.23529411764705882,-0.13873961895456755
6,1052,63,0.3492063492063492,0.4057971014492754,0.2641509433962264,0.875,0.025650697849867843
7,1094,63,0.6666666666666666,0.6037735849056604,0.48484848484848486,0.8,0.3447251114413077
8,1136,63,0.7619047619047619,0.21052631578947367,0.14285714285714285,0.4,0.10596026490066235
9,1178,63,0.6507936507936508,0.3888888888888889,0.28,0.6363636363636364,0.19324796274738076
10,1220,63,0.6349206349206349,0.6101694915254238,0.72,0.5294117647058824,0.28160634605850277
11,1262,63,0.5079365079365079,0.4745762711864407,0.3888888888888889,0.6086956521739131,0.05240174672489084
12,1304,63,0.6190476190476191,0.7647058823529411,0.6190476190476191,1.0,0.0
13,1346,63,0.6031746031746031,0.7524752475247525,0.6031746031746031,1.0,0.0
14,1388,63,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.0
15,1430,63,0.30158730158730157,0.2903225806451613,0.6,0.19148936170212766,-0.11057692307692313
16,1472,63,0.49206349206349204,0.6363636363636364,0.6086956521739131,0.6666666666666666,-0.19999999999999996
17,1514,63,0.30158730158730157,0.4634146341463415,0.30158730158730157,1.0,0.0
18,1556,63,0.3968253968253968,0.5681818181818182,0.3968253968253968,1.0,0.0
19,1598,63,0.8095238095238095,0.8947368421052632,0.8095238095238095,1.0,0.0
20,1640,63,0.7142857142857143,0.8333333333333334,0.7894736842105263,0.8823529411764706,-0.14545454545454528
21,1682,63,0.5714285714285714,0.7272727272727273,0.5714285714285714,1.0,0.0
22,1724,63,0.2857142857142857,0.4444444444444444,0.2857142857142857,1.0,0.0
23,1766,63,0.4603174603174603,0.6304347826086957,0.4603174603174603,1.0,0.0
24,1808,63,0.3333333333333333,0.4878048780487805,0.3225806451612903,1.0,0.014892032762471974
25,1850,63,0.3333333333333333,0.5,0.5,0.5,-0.5
26,1892,63,0.49206349206349204,0.6190476190476191,0.7647058823529411,0.52,-0.06553911205074003
27,1934,63,0.5873015873015873,0.7045454545454546,0.5740740740740741,0.9117647058823529,0.125
