fold,train_end,test_start,test_size,kappa,accuracy,f1_binary,precision_binary,recall_binary
1,779,800,63,0.0,0.47619047619047616,0.0,0.0,0.0
2,800,821,63,0.055152394775036306,0.5079365079365079,0.16216216216216217,0.75,0.09090909090909091
3,821,842,63,0.7149321266968325,0.8571428571428571,0.847457627118644,0.9259259259259259,0.78125
4,842,863,63,0.18546589389210888,0.5396825396825397,0.35555555555555557,1.0,0.21621621621621623
5,863,884,63,0.3908396946564885,0.6984126984126984,0.5581395348837209,1.0,0.3870967741935484
6,884,905,63,0.27524499360886234,0.5714285714285714,0.5573770491803278,1.0,0.38636363636363635
7,905,926,63,0.35341365461847385,0.6349206349206349,0.6567164179104478,1.0,0.4888888888888889
8,926,947,63,0.420899854862119,0.6984126984126984,0.7532467532467533,1.0,0.6041666666666666
9,947,968,63,0.6515837104072397,0.8253968253968254,0.835820895522388,0.9032258064516129,0.7777777777777778
10,968,989,63,0.39384220654265556,0.7619047619047619,0.5454545454545454,0.6923076923076923,0.45
11,989,1010,63,0.27482014388489207,0.746031746031746,0.42857142857142855,0.5454545454545454,0.35294117647058826
12,1010,1031,63,0.5844748858447488,0.7936507936507936,0.7346938775510204,1.0,0.5806451612903226
13,1031,1052,63,0.6156405990016639,0.8253968253968254,0.7317073170731707,1.0,0.5769230769230769
14,1052,1073,63,0.817391304347826,0.9365079365079365,0.8571428571428571,1.0,0.75
15,1073,1094,63,0.9243697478991597,0.9841269841269841,0.9333333333333333,1.0,0.875
16,1094,1115,63,0.43243243243243235,0.7301587301587301,0.5853658536585366,1.0,0.41379310344827586
17,1115,1136,63,0.37623762376237624,0.6507936507936508,0.6666666666666666,1.0,0.5
18,1136,1157,63,0.18358531317494609,0.6190476190476191,0.7391304347826086,1.0,0.5862068965517241
19,1157,1178,63,0.34782608695652173,0.7619047619047619,0.8484848484848485,1.0,0.7368421052631579
20,1178,1199,63,0.3152173913043479,0.9365079365079365,0.9666666666666667,0.9354838709677419,1.0
21,1199,1220,63,0.6440677966101696,0.8571428571428571,0.9010989010989011,0.9111111111111111,0.8913043478260869
22,1220,1241,63,0.5802543912780134,0.8253968253968254,0.8764044943820225,0.8478260869565217,0.9069767441860465
23,1241,1262,63,0.6176024279210925,0.873015873015873,0.92,0.8679245283018868,0.9787234042553191
24,1262,1283,63,0.8804554079696395,0.9841269841269841,0.9914529914529915,0.9830508474576272,1.0
25,1283,1304,63,0.2058823529411764,0.7142857142857143,0.82,0.9761904761904762,0.7068965517241379
26,1304,1325,63,0.13913043478260856,0.47619047619047616,0.547945205479452,0.9523809523809523,0.38461538461538464
27,1325,1346,63,0.01869158878504662,0.20634920634920634,0.10714285714285714,1.0,0.05660377358490566
28,1346,1367,63,0.0,0.31746031746031744,0.0,0.0,0.0
29,1367,1388,63,0.19762845849802357,0.5396825396825397,0.3829787234042553,1.0,0.23684210526315788
30,1388,1409,63,0.7746550843127236,0.8888888888888888,0.9014084507042254,0.9411764705882353,0.8648648648648649
