fold,train_end,test_start,test_size,kappa,accuracy,f1_binary,precision_binary,recall_binary
1,779,800,63,0.018377946464243067,0.38095238095238093,0.04878048780487805,1.0,0.025
2,800,821,63,0.23274695534506085,0.5714285714285714,0.509090909090909,0.875,0.358974358974359
3,821,842,63,-0.02923473774720553,0.6984126984126984,0.819047619047619,0.9148936170212766,0.7413793103448276
4,842,863,63,0.006800618238021805,0.19047619047619047,0.03773584905660377,1.0,0.019230769230769232
5,863,884,63,0.0,0.47619047619047616,0.0,0.0,0.0
6,884,905,63,0.037117903930131146,0.5555555555555556,0.06666666666666667,1.0,0.034482758620689655
7,905,926,63,0.16580310880829008,0.6349206349206349,0.41025641025641024,0.5333333333333333,0.3333333333333333
8,926,947,63,-0.23529411764705888,0.3333333333333333,0.36363636363636365,0.2857142857142857,0.5
9,947,968,63,-0.11428571428571432,0.38095238095238093,0.09302325581395349,0.05555555555555555,0.2857142857142857
10,968,989,63,-0.06861989205859675,0.30158730158730157,0.08333333333333333,0.046511627906976744,0.4
11,989,1010,63,-0.15263983272347104,0.4444444444444444,0.3137254901960784,0.32,0.3076923076923077
12,1010,1031,63,0.03952569169960485,0.5714285714285714,0.06896551724137931,1.0,0.03571428571428571
13,1031,1052,63,0.0,0.6349206349206349,0.0,0.0,0.0
14,1052,1073,63,0.0,0.9206349206349206,0.0,0.0,0.0
15,1073,1094,63,0.6350710900473935,0.8253968253968254,0.7755102040816326,0.7037037037037037,0.8636363636363636
16,1094,1115,63,0.413953488372093,0.746031746031746,0.813953488372093,0.813953488372093,0.813953488372093
17,1115,1136,63,-0.059813084112149584,0.7142857142857143,0.8333333333333334,0.9574468085106383,0.7377049180327869
18,1136,1157,63,0.15384615384615385,0.47619047619047616,0.56,1.0,0.3888888888888889
19,1157,1178,63,0.26011309264897786,0.5714285714285714,0.49056603773584906,1.0,0.325
20,1178,1199,63,0.3152173913043478,0.746031746031746,0.4666666666666667,0.6363636363636364,0.3684210526315789
21,1199,1220,63,0.05842391304347816,0.6507936507936508,0.26666666666666666,0.21052631578947367,0.36363636363636365
22,1220,1241,63,-0.07929515418502198,0.4444444444444444,0.4262295081967213,0.3611111111111111,0.52
23,1241,1262,63,-0.016949152542373058,0.36507936507936506,0.2,0.625,0.11904761904761904
24,1262,1283,63,0.0,0.3968253968253968,0.0,0.0,0.0
25,1283,1304,63,0.0,0.7301587301587301,0.0,0.0,0.0
26,1304,1325,63,0.0,0.8888888888888888,0.0,0.0,0.0
27,1325,1346,63,0.0,0.6666666666666666,0.0,0.0,0.0
28,1346,1367,63,0.0,0.6666666666666666,0.0,0.0,0.0
29,1367,1388,63,0.0,0.5555555555555556,0.0,0.0,0.0
30,1388,1409,63,0.0960264900662251,0.5873015873015873,0.4090909090909091,0.375,0.45
31,1409,1430,63,0.17226277372262777,0.5714285714285714,0.6823529411764706,0.5272727272727272,0.9666666666666667
32,1430,1451,63,0.060636182902584546,0.5238095238095238,0.6666666666666666,0.5084745762711864,0.967741935483871
33,1451,1472,63,0.0,0.6666666666666666,0.8,0.6666666666666666,1.0
34,1472,1493,63,0.04820143884892081,0.3333333333333333,0.36363636363636365,0.9230769230769231,0.22641509433962265
35,1493,1514,63,0.009150700600514705,0.12698412698412698,0.12698412698412698,1.0,0.06779661016949153
36,1514,1535,63,0.11529933481152987,0.3968253968253968,0.3870967741935484,1.0,0.24
37,1535,1556,63,0.037117903930131146,0.5555555555555556,0.06666666666666667,1.0,0.034482758620689655
38,1556,1577,63,-0.10526315789473695,0.6666666666666666,0.08695652173913043,0.07142857142857142,0.1111111111111111
39,1577,1598,63,0.018377946464243067,0.38095238095238093,0.04878048780487805,0.025,1.0
40,1598,1619,63,0.00917431192660545,0.23809523809523808,0.04,0.02040816326530612,1.0
41,1619,1640,63,0.5161290322580645,0.8412698412698413,0.6153846153846154,0.5714285714285714,0.6666666666666666
42,1640,1661,63,0.40063424947145876,0.7142857142857143,0.5714285714285714,0.9230769230769231,0.41379310344827586
43,1661,1682,63,0.09042553191489344,0.3968253968253968,0.40625,0.9285714285714286,0.26
44,1682,1703,63,0.06896551724137934,0.3333333333333333,0.25,1.0,0.14285714285714285
45,1703,1724,63,0.18507462686567167,0.5873015873015873,0.3157894736842105,1.0,0.1875
46,1724,1745,63,0.13816689466484278,0.6825396825396826,0.23076923076923078,0.75,0.13636363636363635
47,1745,1766,63,0.0,0.6666666666666666,0.0,0.0,0.0
48,1766,1787,63,0.0,0.6666666666666666,0.0,0.0,0.0
49,1787,1808,63,0.0,0.7301587301587301,0.0,0.0,0.0
50,1808,1829,63,0.17277125086385625,0.6984126984126984,0.3448275862068966,0.5,0.2631578947368421
51,1829,1850,63,0.17582417582417587,0.6031746031746031,0.4897959183673469,0.42857142857142855,0.5714285714285714
52,1850,1871,63,0.08695652173913038,0.5555555555555556,0.36363636363636365,0.26666666666666666,0.5714285714285714
53,1871,1892,63,0.06811145510835903,0.31746031746031744,0.29508196721311475,0.17307692307692307,1.0
54,1892,1913,63,0.07228915662650592,0.47619047619047616,0.6206896551724138,0.45,1.0
55,1913,1934,63,0.0,0.7619047619047619,0.8648648648648649,0.7619047619047619,1.0
56,1934,1955,63,0.0,0.6984126984126984,0.822429906542056,0.6984126984126984,1.0
57,1955,1976,44,0.0,0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
58,1976,1997,23,0.0,0.13043478260869565,0.23076923076923078,0.13043478260869565,1.0
