fold,train_end,test_start,test_size,kappa,accuracy,f1_binary,precision_binary,recall_binary
1,779,800,63,0.136986301369863,0.5396825396825397,0.2564102564102564,1.0,0.14705882352941177
2,800,821,63,0.5362776025236593,0.7777777777777778,0.72,0.6923076923076923,0.75
3,821,842,63,-0.16926503340757248,0.6031746031746031,0.7524752475247525,0.6666666666666666,0.8636363636363636
4,842,863,63,0.016000000000000125,0.3492063492063492,0.046511627906976744,1.0,0.023809523809523808
5,863,884,63,0.0,0.2222222222222222,0.0,0.0,0.0
6,884,905,63,0.12401352874859084,0.4126984126984127,0.3728813559322034,1.0,0.22916666666666666
7,905,926,63,0.16556291390728484,0.5555555555555556,0.6410256410256411,0.8928571428571429,0.5
8,926,947,63,0.1202185792349727,0.6349206349206349,0.7415730337078652,0.7333333333333333,0.75
9,947,968,63,-0.006993006993006867,0.49206349206349204,0.5,0.45714285714285713,0.5517241379310345
10,968,989,63,-0.10185185185185186,0.4603174603174603,0.2916666666666667,0.23333333333333334,0.3888888888888889
11,989,1010,63,-0.050000000000000044,0.49206349206349204,0.2,0.4,0.13333333333333333
12,1010,1031,63,0.016239850093691333,0.6031746031746031,0.07407407407407407,0.5,0.04
13,1031,1052,63,0.17424826522744796,0.7301587301587301,0.2608695652173913,0.75,0.15789473684210525
14,1052,1073,63,0.27129337539432175,0.8253968253968254,0.35294117647058826,0.25,0.6
15,1073,1094,63,0.5291479820627802,0.7619047619047619,0.7368421052631579,0.6363636363636364,0.875
16,1094,1115,63,0.24731182795698925,0.6825396825396826,0.7727272727272727,0.7555555555555555,0.7906976744186046
17,1115,1136,63,-0.09375,0.5238095238095238,0.6875,0.9166666666666666,0.55
18,1136,1157,63,-0.03216019417475735,0.14285714285714285,0.25,0.9,0.14516129032258066
19,1157,1178,63,0.010471204188481686,0.14285714285714285,0.1,1.0,0.05263157894736842
20,1178,1199,63,0.25362000877577895,0.5714285714285714,0.6086956521739131,0.9545454545454546,0.44680851063829785
21,1199,1220,63,0.2702702702702703,0.6666666666666666,0.7692307692307693,0.625,1.0
22,1220,1241,63,0.0,0.6507936507936508,0.7884615384615384,0.6507936507936508,1.0
23,1241,1262,63,-0.27826086956521734,0.5555555555555556,0.7142857142857143,0.7446808510638298,0.6862745098039216
24,1262,1283,63,-0.134453781512605,0.2857142857142857,0.4155844155844156,0.7619047619047619,0.2857142857142857
25,1283,1304,63,0.10256410256410264,0.5238095238095238,0.4444444444444444,0.6666666666666666,0.3333333333333333
26,1304,1325,63,0.28985507246376807,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.4444444444444444
27,1325,1346,63,0.04210526315789487,0.5873015873015873,0.07142857142857142,1.0,0.037037037037037035
28,1346,1367,63,0.0,0.5873015873015873,0.0,0.0,0.0
29,1367,1388,63,0.0,0.5555555555555556,0.0,0.0,0.0
30,1388,1409,63,0.1416893732970027,0.6031746031746031,0.4444444444444444,0.4,0.5
31,1409,1430,63,0.23412877082395311,0.5714285714285714,0.6582278481012658,0.49056603773584906,1.0
32,1430,1451,63,-0.2104300091491309,0.3333333333333333,0.4166666666666667,0.3191489361702128,0.6
33,1451,1472,63,0.15625,0.6190476190476191,0.7446808510638298,0.5932203389830508,1.0
34,1472,1493,63,-0.04930046635576302,0.20634920634920634,0.07407407407407407,0.5,0.04
35,1493,1514,63,0.0027770063871147554,0.09523809523809523,0.03389830508474576,1.0,0.017241379310344827
36,1514,1535,63,0.00917431192660545,0.23809523809523808,0.3684210526315789,1.0,0.22580645161290322
37,1535,1556,63,0.07522935779816509,0.49206349206349204,0.5151515151515151,0.7391304347826086,0.3953488372093023
38,1556,1577,63,0.12788398154251823,0.6666666666666666,0.7878787878787878,0.6610169491525424,0.975
39,1577,1598,63,0.0,0.3492063492063492,0.5176470588235295,0.3492063492063492,1.0
40,1598,1619,63,-0.03201787043931503,0.30158730158730157,0.4634146341463415,0.3064516129032258,0.95
41,1619,1640,63,0.38834951456310673,0.8571428571428571,0.47058823529411764,0.5,0.4444444444444444
42,1640,1661,63,0.012820512820512775,0.30158730158730157,0.45,0.2903225806451613,1.0
43,1661,1682,63,0.1649484536082475,0.5714285714285714,0.5970149253731343,0.7142857142857143,0.5128205128205128
44,1682,1703,63,0.08306709265175705,0.3492063492063492,0.3050847457627119,1.0,0.18
