feature,importance
vol_volatility_20,236
sma_cross_50_200,234
price_vs_sma_50,177
low_50d_dist,175
vol_price_corr_20,174
trades_sma_20,168
ext_fgi_std_30,168
atr_21,161
vol_price_corr_10,152
flow_momentum_20,147
atr_pct_21,144
macd_hist,139
ext_fgi_std_14,135
ext_fgi_ma30,134
low_21d_dist,133
return_3d,133
volatility_10d,128
high_50d_dist,126
obv,126
price_vs_sma_200,124
funding_rate_24,122
sma_200,122
vol_volatility_10,122
volatility_20d,119
buy_pressure_ma_20,115
rsi_28,112
bb_width_20,110
cvd_change_14,109
ext_fgi_std_21,108
ext_fgi_std_7,107
sma_100,107
cvd_ma_21,101
vol_ratio_50,101
flow_momentum_10,99
cvd_change_21,99
low_14d_dist,98
volatility_5d,97
ema_200,94
return_1d,92
rsi_6,92
avg_trade_size_sma_20,91
ext_fgi_change_21d,90
stoch_k_14,89
buy_pressure_ma_10,89
ext_fgi_ma21,86
sma_cross_5_20,86
vol_sma_50,85
high_21d_dist,84
atr_14,83
cvd_change_7,80
buy_pressure_ma_5,80
bb_upper_20,79
open_interest_14,79
qvol_sma_20,78
obv_sma_20,78
ema_5,78
ext_fgi_ma14,76
atr_pct_14,75
open_interest_24,73
ext_fgi_vs_ma30,73
buy_pressure,72
flow_momentum_5,72
return_5d,72
ext_fgi_std_3,70
obv_sma_10,69
ema_20,68
ext_fgi_ma3,66
stablecoin_inflow_proxy,66
high_14d_dist,65
cvd_ma_14,64
ext_fgi_change_1d,64
cvd_ma_7,64
avg_trade_size_ratio_10,63
trades_sma_10,62
vol_sma_20,61
avg_trade_size_sma_10,61
macd,61
sma_50,60
avg_trade_size_sma_5,60
avg_trade_size_ratio_5,59
flow_price_divergence_20,59
qvol_sma_5,59
return_21d,59
price_vs_vwap_10,59
bb_pctb_20,58
sma_cross_10_50,58
qvol_sma_10,57
stoch_d_14,56
ext_fgi_ma7,56
rsi_14,53
ext_fgi_change_5d,52
flow_change_10d,52
ext_fgi_price_div_7d,51
avg_trade_size_ratio_20,51
flow_price_divergence_10,51
volume_density,51
ext_fgi_vs_ma14,49
sma_5,48
vol_ratio_5,48
trades_change_1d,48
vol_sma_10,48
return_14d,47
volume_density_sma_10,47
ema_100,46
trades_sma_5,45
ext_fgi,45
macd_signal,44
ext_fgi_change_14d,43
ema_10,42
trades_ratio_20,41
funding_rate_14,39
trades_ratio_10,39
ema_50,39
avg_trade_size,39
bb_lower_20,37
ext_fgi_momentum,35
cvd,35
open_interest_7,34
vol_sma_5,33
trades_change_5d,32
ext_fgi_price_div_14d,32
ext_fgi_momentum_accel,31
flow_change_5d,31
vol_change_1d,31
ext_fgi_change_3d,30
volume_density_sma_5,30
flow_change_3d,29
ext_fgi_change_7d,29
vol_change_5d,29
price_vs_sma_20,28
price_vs_vwap_20,28
qvol_ratio_20,27
vol_change_3d,27
vwap_20,27
return_7d,26
trades_ratio_5,23
avg_trade_size_ma_20,23
sma_10,20
vwap_10,20
qvol_ratio_5,19
qvol_ratio_10,17
sma_20,17
flow_change_1d,17
funding_rate_7,17
vol_ratio_20,17
avg_trade_size_ma_5,14
vol_ratio_10,14
avg_trade_size_ma_10,11
ext_fgi_pct_rank_30,11
volume_density_ma_5,8
volume_density_ma_10,6
ext_fgi_extreme_fear,0
ext_fgi_fear,0
ext_fgi_greed,0
ext_fgi_pct_rank_90,0
ext_fgi_pct_rank_60,0
ext_fgi_extreme_greed,0
