feature,importance
ext_fgi_std_14,223
volatility_20d,218
flow_momentum_20,214
vol_volatility_20,206
buy_pressure_ma_20,197
cvd_change_21,191
atr_pct_21,185
vol_volatility_10,175
buy_pressure,155
macd_hist,149
macd_signal,144
sma_100,137
sma_cross_50_200,135
obv_sma_10,132
price_vs_sma_50,131
flow_momentum_10,130
flow_momentum_5,129
bb_width_20,127
sma_200,127
return_21d,125
return_1d,124
buy_pressure_ma_5,124
cvd_change_7,121
vol_sma_50,120
volatility_10d,117
ext_fgi_change_14d,116
avg_trade_size_ratio_20,114
funding_rate_24,113
bb_pctb_20,113
trades_ratio_5,113
rsi_28,112
cvd_ma_7,112
vol_price_corr_10,110
flow_price_divergence_20,107
volume_density_sma_10,104
low_21d_dist,104
obv,102
low_14d_dist,101
ext_fgi_ma30,100
high_50d_dist,99
atr_pct_14,98
vol_price_corr_20,98
buy_pressure_ma_10,97
trades_sma_20,96
low_50d_dist,96
price_vs_sma_200,96
volatility_5d,95
return_3d,94
obv_sma_20,93
high_21d_dist,92
rsi_6,92
ext_fgi_ma7,92
ext_fgi_change_7d,92
cvd_ma_21,91
high_14d_dist,90
macd,86
stoch_d_14,85
trades_sma_5,84
cvd_change_14,84
vol_sma_20,81
ext_fgi_ma14,80
avg_trade_size_ratio_10,78
ema_200,78
trades_ratio_10,77
stablecoin_inflow_proxy,75
ext_fgi_price_divergence,74
open_interest_14,74
flow_change_1d,73
trades_change_1d,73
avg_trade_size_sma_5,72
return_7d,72
qvol_sma_20,71
trades_ratio_20,69
vol_ratio_50,69
sma_cross_5_20,68
vol_change_1d,68
vol_sma_5,68
flow_change_10d,67
open_interest_24,65
sma_50,62
avg_trade_size_ratio_5,61
avg_trade_size_sma_20,61
cvd,61
price_vs_vwap_20,61
stoch_k_14,61
trades_sma_10,60
vol_change_5d,60
avg_trade_size_sma_10,59
flow_change_3d,59
flow_change_5d,58
funding_rate_7,57
atr_21,57
qvol_sma_10,56
qvol_sma_5,56
sma_cross_10_50,54
volume_density_sma_5,54
return_14d,50
price_vs_sma_20,49
flow_price_divergence_10,49
return_5d,48
funding_rate_14,47
vol_change_3d,47
trades_change_5d,47
rsi_14,47
ema_50,46
volume_density,45
open_interest_7,45
bb_lower_20,45
avg_trade_size,44
qvol_ratio_5,43
vol_ratio_5,41
vol_ratio_20,40
atr_14,39
ext_fgi,39
sma_5,38
price_vs_vwap_10,38
cvd_ma_14,36
qvol_ratio_20,36
qvol_ratio_10,30
vol_ratio_10,29
vol_sma_10,26
ema_100,25
ema_10,24
ema_5,22
bb_upper_20,21
ema_20,17
vwap_20,16
volume_density_ma_10,15
sma_20,15
avg_trade_size_ma_20,15
avg_trade_size_ma_5,14
sma_10,12
volume_density_ma_5,11
avg_trade_size_ma_10,7
vwap_10,6
ext_fgi_extreme_fear,0
ext_fgi_extreme_greed,0
