feature,importance
vol_volatility_20,276
price_vs_sma_200,273
sma_cross_50_200,261
low_50d_dist,259
price_vs_sma_50,220
sma_200,207
ext_fgi_std_14,189
trades_sma_20,181
vol_volatility_10,167
low_21d_dist,161
buy_pressure_ma_20,151
rsi_28,149
vol_price_corr_20,148
ext_fgi_ma30,148
atr_21,146
volatility_5d,140
flow_momentum_5,140
flow_momentum_10,138
high_50d_dist,137
macd_hist,136
high_14d_dist,134
volatility_10d,133
cvd_change_21,131
cvd_change_14,124
atr_pct_21,121
funding_rate_24,120
low_14d_dist,119
flow_momentum_20,119
obv,116
sma_100,115
buy_pressure,115
ema_200,113
ema_100,110
volatility_20d,109
cvd_change_7,108
qvol_sma_20,108
buy_pressure_ma_5,107
trades_sma_10,106
vol_sma_50,105
bb_width_20,105
high_21d_dist,105
return_1d,102
bb_upper_20,102
atr_14,97
cvd_ma_21,95
vol_sma_20,93
buy_pressure_ma_10,91
sma_cross_10_50,91
volume_density_sma_10,90
stoch_k_14,88
return_5d,87
atr_pct_14,87
cvd_ma_7,86
ext_fgi_ma14,86
obv_sma_10,86
sma_50,86
obv_sma_20,85
ext_fgi,85
price_vs_vwap_10,84
ext_fgi_change_14d,84
bb_pctb_20,84
avg_trade_size_ratio_20,82
rsi_6,81
ext_fgi_ma7,80
avg_trade_size_sma_10,80
ema_50,77
return_21d,75
ema_5,75
macd,73
ext_fgi_price_divergence,72
cvd_ma_14,72
open_interest_24,72
sma_cross_5_20,72
stablecoin_inflow_proxy,71
flow_price_divergence_20,70
ext_fgi_change_7d,69
avg_trade_size_ratio_5,69
vol_price_corr_10,69
open_interest_14,67
stoch_d_14,67
macd_signal,66
trades_sma_5,66
vol_ratio_50,65
qvol_sma_5,64
avg_trade_size_sma_5,62
return_3d,62
ema_20,62
qvol_sma_10,61
rsi_14,57
trades_change_1d,57
volume_density,56
flow_price_divergence_10,56
sma_5,55
flow_change_10d,54
trades_ratio_5,54
price_vs_vwap_20,52
volume_density_sma_5,51
open_interest_7,50
vol_sma_10,49
price_vs_sma_20,48
return_14d,46
ema_10,44
vol_change_1d,44
avg_trade_size_sma_20,42
trades_change_5d,42
return_7d,42
vol_change_5d,42
vol_sma_5,42
vol_ratio_10,40
trades_ratio_10,39
flow_change_5d,39
vol_ratio_5,38
sma_20,38
vol_change_3d,38
avg_trade_size_ratio_10,38
avg_trade_size,37
funding_rate_14,36
cvd,34
flow_change_3d,32
trades_ratio_20,32
bb_lower_20,31
vwap_10,31
vwap_20,27
funding_rate_7,27
flow_change_1d,24
sma_10,21
vol_ratio_20,20
qvol_ratio_20,19
qvol_ratio_10,18
avg_trade_size_ma_10,17
qvol_ratio_5,16
avg_trade_size_ma_20,13
volume_density_ma_10,13
avg_trade_size_ma_5,9
volume_density_ma_5,3
ext_fgi_extreme_fear,1
ext_fgi_extreme_greed,0
