feature,importance
vol_volatility_20,259
sma_cross_50_200,221
obv,202
price_vs_sma_50,189
rsi_28,186
ext_fgi_std_14,184
low_50d_dist,181
vol_volatility_10,174
price_vs_sma_200,159
vol_price_corr_10,157
sma_200,156
high_21d_dist,153
flow_momentum_20,147
atr_21,146
return_1d,145
atr_pct_21,139
trades_sma_20,138
cvd_change_21,137
vol_price_corr_20,135
return_3d,133
cvd_change_14,132
low_21d_dist,129
bb_width_20,125
buy_pressure_ma_20,123
flow_momentum_10,122
flow_momentum_5,120
high_50d_dist,117
ext_fgi_ma30,117
buy_pressure_ma_5,116
low_14d_dist,115
cvd_ma_7,115
macd_hist,114
trades_sma_5,113
high_14d_dist,112
volatility_10d,107
buy_pressure,105
cvd_ma_21,104
ema_100,103
stablecoin_inflow_proxy,102
qvol_sma_20,102
atr_14,101
trades_sma_10,98
vol_sma_50,97
avg_trade_size_sma_20,96
volatility_20d,95
buy_pressure_ma_10,94
volatility_5d,94
cvd_change_7,93
ext_fgi_price_divergence,91
flow_price_divergence_20,88
obv_sma_10,87
stoch_k_14,85
sma_100,85
funding_rate_24,84
ext_fgi_change_14d,81
bb_upper_20,79
ext_fgi_ma14,78
return_5d,75
return_21d,75
ext_fgi,74
obv_sma_20,74
avg_trade_size_ratio_5,73
rsi_6,72
avg_trade_size_ratio_20,72
vol_sma_10,72
sma_50,72
sma_cross_10_50,71
vol_ratio_50,69
ema_200,69
avg_trade_size_sma_10,67
macd_signal,67
sma_cross_5_20,66
ext_fgi_change_7d,66
open_interest_14,65
avg_trade_size,64
atr_pct_14,64
flow_change_3d,64
open_interest_24,63
bb_pctb_20,62
vol_change_1d,61
avg_trade_size_sma_5,61
ext_fgi_ma7,60
sma_5,60
vol_sma_20,60
ema_50,59
ema_10,58
ema_5,58
trades_ratio_5,57
volume_density_sma_10,57
price_vs_vwap_10,57
open_interest_7,55
cvd_ma_14,55
vol_change_3d,54
qvol_sma_5,54
price_vs_vwap_20,49
qvol_sma_10,49
return_14d,46
bb_lower_20,46
rsi_14,46
volume_density,45
price_vs_sma_20,45
stoch_d_14,44
funding_rate_14,44
trades_change_5d,43
vol_sma_5,43
avg_trade_size_ratio_10,41
vol_ratio_5,40
trades_change_1d,39
flow_price_divergence_10,39
cvd,38
flow_change_5d,38
return_7d,38
flow_change_10d,37
volume_density_sma_5,36
macd,34
qvol_ratio_20,33
flow_change_1d,33
vol_ratio_20,31
sma_20,31
trades_ratio_20,30
ema_20,30
vol_change_5d,30
qvol_ratio_10,27
sma_10,27
vwap_20,24
funding_rate_7,23
trades_ratio_10,21
vwap_10,19
avg_trade_size_ma_20,16
avg_trade_size_ma_10,15
volume_density_ma_10,15
qvol_ratio_5,15
vol_ratio_10,15
avg_trade_size_ma_5,9
volume_density_ma_5,8
ext_fgi_extreme_fear,3
ext_fgi_extreme_greed,2
