feature,importance
ext_fgi_ma30,219
vol_volatility_20,218
sma_cross_50_200,199
ext_fgi_std_14,178
sma_200,163
flow_momentum_20,163
atr_pct_21,153
volatility_20d,151
vol_sma_50,139
low_50d_dist,138
ema_200,134
sma_100,133
trades_sma_20,132
vol_volatility_10,132
macd_hist,130
cvd_ma_21,129
rsi_28,127
buy_pressure_ma_20,126
cvd_change_7,122
obv,121
vol_price_corr_20,119
cvd_change_21,116
bb_width_20,116
ext_fgi_ma14,115
cvd_ma_14,106
vol_price_corr_10,105
volatility_10d,101
volatility_5d,99
atr_21,99
return_3d,99
flow_momentum_10,99
funding_rate_24,98
cvd_change_14,96
buy_pressure_ma_5,96
obv_sma_20,96
ext_fgi_change_7d,95
return_1d,94
avg_trade_size_ratio_5,91
flow_momentum_5,91
atr_pct_14,90
price_vs_sma_200,90
avg_trade_size_sma_20,88
ext_fgi_price_divergence,88
avg_trade_size_sma_10,87
sma_cross_10_50,85
ext_fgi_ma7,82
high_50d_dist,82
low_21d_dist,82
regime_trend_100,82
rsi_6,81
obv_sma_10,81
open_interest_24,80
qvol_sma_20,80
return_21d,80
trades_sma_10,78
atr_14,78
volume_density_sma_10,77
stoch_d_14,75
price_vs_sma_50,74
ext_fgi_change_14d,74
buy_pressure_ma_10,74
low_14d_dist,73
sma_50,72
macd_signal,68
price_vs_vwap_10,68
flow_price_divergence_20,67
open_interest_14,67
avg_trade_size_ratio_10,66
cvd_ma_7,66
return_5d,64
buy_pressure,63
vol_ratio_50,63
ext_fgi,62
trades_sma_5,61
bb_pctb_20,61
stablecoin_inflow_proxy,60
avg_trade_size_ratio_20,59
flow_price_divergence_10,58
qvol_sma_10,58
sma_cross_5_20,57
rsi_14,57
trades_ratio_20,56
bb_upper_20,55
trades_change_1d,55
avg_trade_size_sma_5,55
trades_ratio_5,52
macd,52
price_vs_sma_20,50
vol_change_5d,50
flow_change_10d,47
vol_sma_20,47
volume_density,47
volume_density_sma_5,47
ema_100,46
high_21d_dist,45
vol_sma_5,44
high_14d_dist,42
vol_change_3d,41
qvol_sma_5,39
open_interest_7,39
bb_lower_20,39
stoch_k_14,38
vol_ratio_5,37
trades_change_5d,36
sma_10,35
sma_5,35
funding_rate_7,35
flow_change_3d,35
vol_sma_10,35
vol_change_1d,34
qvol_ratio_20,34
return_14d,30
trades_ratio_10,30
vwap_20,28
vol_ratio_10,28
return_7d,28
qvol_ratio_5,26
ema_5,25
ema_50,25
avg_trade_size,25
cvd,25
flow_change_5d,24
regime_price_vs_ma200,24
sma_20,24
price_vs_vwap_20,23
flow_change_1d,23
vwap_10,22
avg_trade_size_ma_20,21
vol_ratio_20,21
qvol_ratio_10,20
volume_density_ma_10,18
avg_trade_size_ma_10,18
regime_trend_50,16
funding_rate_14,15
regime_ma200_rise,14
ema_20,13
ema_10,13
volume_density_ma_5,10
regime_ma200_fall,8
avg_trade_size_ma_5,6
regime_sideways,6
ext_fgi_extreme_greed,1
regime_vol_high,0
regime_bear,0
regime_trend_200,0
regime_bull,0
ext_fgi_extreme_fear,0
regime_vol_low,0
