fold_id,train_size,test_size
0,1500,63
1,1521,63
2,1542,63
3,1563,63
4,1584,63
5,1605,63
6,1626,63
7,1647,63
8,1668,63
9,1689,63
10,1710,63
11,1731,63
12,1752,63
13,1773,63
14,1794,63
15,1815,63
16,1836,63
17,1857,63
18,1878,63
19,1899,63
20,1920,63
21,1941,63
22,1962,63
23,1983,63
24,2004,63
25,2025,63
26,2046,63
27,2067,63
28,2088,63
29,2109,63
30,2130,63
31,2151,63
32,2172,63
33,2193,63
34,2214,63
35,2235,63
36,2256,63
37,2277,63
38,2298,63
39,2319,63
40,2340,63
41,2361,63
42,2382,63
43,2403,63
44,2424,63
45,2445,63
46,2466,63
47,2487,63
48,2508,63
49,2529,63
50,2550,63
51,2571,63
52,2592,63
53,2613,63
54,2634,63
55,2655,63
56,2676,63
