feature,importance
trades_sma_20,254
sma_200,225
ext_fgi_std_14,216
sma_cross_50_200,206
vol_volatility_20,200
low_50d_dist,200
obv,180
buy_pressure_ma_20,174
sma_100,168
atr_pct_21,166
volatility_20d,165
low_21d_dist,151
rsi_28,150
cvd_change_21,142
volatility_5d,142
volatility_10d,141
flow_momentum_20,139
vol_volatility_10,137
atr_21,130
trades_sma_5,124
ema_200,121
regime_trend_100,120
ext_fgi_ma30,120
price_vs_sma_200,115
ext_fgi_change_14d,115
buy_pressure,108
atr_pct_14,106
cvd_ma_7,106
ext_fgi_ma14,105
bb_upper_20,105
cvd_change_7,105
macd_signal,103
avg_trade_size_ratio_20,101
obv_sma_20,100
high_50d_dist,99
vol_sma_50,99
atr_14,98
sma_50,98
cvd_ma_14,97
flow_momentum_5,95
buy_pressure_ma_10,94
avg_trade_size_sma_20,94
sma_cross_10_50,93
macd_hist,91
flow_momentum_10,91
cvd_ma_21,88
qvol_sma_20,88
avg_trade_size_ratio_5,87
return_21d,86
rsi_6,83
ext_fgi_price_divergence,83
vol_price_corr_20,83
low_14d_dist,82
avg_trade_size_ratio_10,81
funding_rate_24,81
vol_sma_20,79
stablecoin_inflow_proxy,79
vol_price_corr_10,78
bb_width_20,77
return_1d,75
obv_sma_10,74
return_5d,73
flow_price_divergence_20,73
cvd_change_14,72
vol_change_3d,71
ext_fgi_ma7,70
return_3d,69
ema_100,69
volume_density_sma_5,67
price_vs_sma_50,67
buy_pressure_ma_5,66
ext_fgi_change_7d,66
open_interest_14,65
price_vs_vwap_10,64
trades_ratio_10,63
macd,62
ema_5,62
vol_change_5d,61
avg_trade_size_sma_5,58
trades_sma_10,58
vol_ratio_5,58
qvol_sma_5,57
sma_10,57
flow_change_3d,56
vol_sma_5,56
stoch_k_14,55
high_14d_dist,55
return_14d,54
stoch_d_14,54
open_interest_24,53
return_7d,51
trades_change_5d,51
rsi_14,50
open_interest_7,49
vol_sma_10,49
sma_cross_5_20,49
ema_50,49
qvol_sma_10,47
avg_trade_size_sma_10,46
volume_density_sma_10,46
avg_trade_size,45
flow_change_10d,45
sma_20,44
high_21d_dist,43
vol_ratio_50,43
flow_price_divergence_10,41
ext_fgi,41
trades_ratio_5,41
bb_lower_20,39
bb_pctb_20,39
qvol_ratio_10,38
cvd,35
trades_ratio_20,35
flow_change_1d,34
sma_5,32
volume_density,32
flow_change_5d,32
vol_change_1d,31
qvol_ratio_5,31
trades_change_1d,30
vwap_10,30
price_vs_sma_20,28
avg_trade_size_ma_20,27
funding_rate_14,25
ema_20,25
funding_rate_7,24
price_vs_vwap_20,24
vol_ratio_10,23
vwap_20,23
regime_price_vs_ma200,22
vol_ratio_20,21
qvol_ratio_20,20
ema_10,18
volume_density_ma_5,17
avg_trade_size_ma_10,15
avg_trade_size_ma_5,15
volume_density_ma_10,10
regime_trend_50,10
regime_trend_200,6
regime_vol_low,5
regime_ma200_fall,4
regime_sideways,2
regime_ma200_rise,2
regime_bull,0
ext_fgi_extreme_greed,0
ext_fgi_extreme_fear,0
regime_vol_high,0
regime_bear,0
