feature,importance
vol_volatility_20,233
sma_cross_50_200,193
sma_200,179
vol_volatility_10,176
low_50d_dist,173
rsi_28,171
price_vs_sma_200,170
obv,170
flow_momentum_20,166
ext_fgi_std_14,157
low_21d_dist,154
regime_trend_100,149
ext_fgi_ma30,143
atr_pct_21,137
flow_momentum_10,136
high_21d_dist,135
bb_width_20,133
vol_price_corr_20,133
return_3d,130
trades_sma_20,130
high_14d_dist,127
buy_pressure_ma_20,127
return_1d,127
atr_21,127
cvd_change_14,124
high_50d_dist,124
cvd_change_21,123
price_vs_sma_50,123
ema_100,121
macd_hist,119
vol_price_corr_10,119
buy_pressure_ma_5,116
cvd_ma_21,114
qvol_sma_20,112
trades_sma_5,109
volatility_10d,106
buy_pressure,102
flow_momentum_5,101
cvd_ma_7,98
low_14d_dist,98
atr_14,97
ext_fgi_price_divergence,96
avg_trade_size_sma_20,96
buy_pressure_ma_10,94
funding_rate_24,93
atr_pct_14,91
stablecoin_inflow_proxy,90
cvd_change_7,89
rsi_6,86
bb_upper_20,84
return_21d,83
stoch_k_14,82
obv_sma_10,79
ext_fgi_ma14,78
ema_200,77
volatility_5d,77
vol_sma_50,76
trades_sma_10,76
avg_trade_size_sma_5,75
ext_fgi_change_14d,75
flow_change_3d,75
avg_trade_size_ratio_20,73
volatility_20d,72
avg_trade_size_ratio_5,72
obv_sma_20,71
sma_cross_5_20,69
sma_50,68
open_interest_24,68
avg_trade_size_sma_10,68
bb_pctb_20,67
ext_fgi_change_7d,67
vol_sma_10,66
avg_trade_size,66
vol_sma_20,66
return_5d,65
cvd_ma_14,64
vol_ratio_50,63
ema_10,62
sma_100,62
ext_fgi,61
ema_5,59
open_interest_7,58
sma_cross_10_50,58
flow_price_divergence_20,58
macd_signal,57
qvol_sma_5,55
volume_density,51
ema_50,51
vol_change_3d,50
ema_20,50
price_vs_vwap_10,50
flow_change_10d,49
trades_ratio_20,49
qvol_sma_10,49
stoch_d_14,48
open_interest_14,47
price_vs_vwap_20,47
vol_change_1d,47
volume_density_sma_10,47
return_14d,47
rsi_14,46
ext_fgi_ma7,45
avg_trade_size_ratio_10,45
sma_5,44
macd,43
trades_change_1d,42
trades_ratio_5,42
price_vs_sma_20,41
vol_sma_5,41
regime_price_vs_ma200,41
funding_rate_14,41
bb_lower_20,40
volume_density_sma_5,40
return_7d,39
flow_change_5d,38
trades_change_5d,36
vol_change_5d,34
vol_ratio_5,34
flow_price_divergence_10,33
regime_trend_50,31
flow_change_1d,31
qvol_ratio_20,30
sma_20,30
cvd,29
sma_10,24
vwap_20,23
qvol_ratio_10,22
trades_ratio_10,22
qvol_ratio_5,20
avg_trade_size_ma_20,19
avg_trade_size_ma_5,18
funding_rate_7,17
volume_density_ma_10,16
vol_ratio_20,16
vol_ratio_10,15
vwap_10,11
regime_ma200_rise,10
ext_fgi_extreme_fear,6
avg_trade_size_ma_10,6
volume_density_ma_5,5
regime_ma200_fall,5
regime_trend_200,3
regime_bull,1
regime_sideways,1
ext_fgi_extreme_greed,0
regime_bear,0
regime_vol_high,0
regime_vol_low,0
