feature,importance
vol_volatility_20,247
sma_cross_50_200,245
low_50d_dist,208
vol_volatility_10,201
price_vs_sma_200,191
ext_fgi_std_14,167
flow_momentum_20,166
vol_price_corr_20,163
sma_200,162
regime_trend_100,161
rsi_28,160
obv,159
high_21d_dist,157
high_14d_dist,156
atr_21,156
price_vs_sma_50,148
flow_momentum_10,147
ext_fgi_ma30,142
vol_price_corr_10,139
atr_pct_21,139
buy_pressure_ma_20,139
macd_hist,137
high_50d_dist,137
volatility_10d,134
low_21d_dist,133
trades_sma_20,127
bb_width_20,125
cvd_ma_21,124
return_1d,124
cvd_change_14,122
trades_sma_5,116
ema_100,115
atr_pct_14,114
cvd_change_21,114
qvol_sma_20,111
buy_pressure,111
cvd_change_7,111
return_3d,103
sma_100,100
low_14d_dist,100
trades_sma_10,99
funding_rate_24,98
buy_pressure_ma_5,98
stablecoin_inflow_proxy,96
stoch_k_14,95
atr_14,95
return_5d,94
flow_momentum_5,94
avg_trade_size_ratio_20,93
cvd_ma_7,92
buy_pressure_ma_10,91
return_21d,90
volatility_5d,89
ext_fgi_price_divergence,87
volatility_20d,86
ext_fgi_change_14d,86
vol_sma_20,84
vol_ratio_50,83
obv_sma_20,83
ext_fgi_ma14,82
ext_fgi_change_7d,79
sma_cross_5_20,78
bb_upper_20,77
ema_200,77
avg_trade_size_ratio_5,76
avg_trade_size_sma_20,76
sma_50,75
flow_price_divergence_20,75
vol_sma_50,74
rsi_6,74
obv_sma_10,73
ext_fgi,73
ema_50,70
sma_cross_10_50,70
open_interest_7,68
vol_sma_10,66
flow_change_3d,65
stoch_d_14,65
sma_5,64
open_interest_14,63
bb_pctb_20,63
avg_trade_size_sma_5,62
volume_density_sma_10,61
open_interest_24,61
ext_fgi_ma7,59
price_vs_vwap_20,59
ema_10,57
qvol_sma_5,57
flow_change_10d,56
regime_price_vs_ma200,54
qvol_sma_10,53
avg_trade_size_sma_10,52
price_vs_vwap_10,52
funding_rate_14,52
ema_5,51
macd_signal,48
avg_trade_size,48
vol_change_1d,47
vol_change_3d,47
vol_ratio_5,46
trades_change_1d,46
volume_density,46
trades_ratio_5,43
macd,42
return_14d,41
cvd_ma_14,41
rsi_14,40
avg_trade_size_ratio_10,40
bb_lower_20,40
ema_20,39
return_7d,39
trades_ratio_20,39
flow_price_divergence_10,38
vwap_20,35
flow_change_5d,34
cvd,34
vol_sma_5,33
price_vs_sma_20,33
trades_change_5d,33
vol_change_5d,32
flow_change_1d,30
vol_ratio_10,29
qvol_ratio_10,28
volume_density_sma_5,28
funding_rate_7,27
sma_20,26
sma_10,25
regime_trend_50,24
trades_ratio_10,24
qvol_ratio_20,24
vol_ratio_20,21
volume_density_ma_10,17
qvol_ratio_5,15
avg_trade_size_ma_20,13
avg_trade_size_ma_5,13
avg_trade_size_ma_10,13
vwap_10,10
volume_density_ma_5,9
regime_ma200_rise,9
regime_trend_200,3
regime_ma200_fall,2
ext_fgi_extreme_greed,2
regime_sideways,2
ext_fgi_extreme_fear,2
regime_bear,1
regime_bull,1
regime_vol_high,1
regime_vol_low,0
