feature,importance
sma_200,373
ext_fgi_ma30,372
low_50d_dist,364
sma_cross_50_200,354
price_vs_sma_200,326
rsi_28,291
regime_trend_100,274
ext_fgi_std_14,266
volatility_10d,253
atr_21,251
atr_pct_21,241
return_1d,240
atr_14,231
sma_50,228
volatility_20d,226
bb_width_20,225
sma_100,222
high_50d_dist,212
low_21d_dist,202
high_21d_dist,193
return_21d,185
volatility_5d,180
bb_upper_20,179
price_vs_sma_50,179
high_14d_dist,176
low_14d_dist,163
ext_fgi_change_14d,155
ema_200,154
stoch_k_14,150
rsi_6,148
ema_100,146
return_3d,146
return_5d,143
ext_fgi_ma14,142
macd_signal,141
bb_pctb_20,141
sma_cross_10_50,139
return_7d,138
ext_fgi_price_divergence,133
macd_hist,130
price_vs_sma_20,128
sma_cross_5_20,125
ema_50,124
return_14d,122
atr_pct_14,122
ext_fgi_ma7,122
sma_5,116
ema_20,114
stoch_d_14,113
ema_5,111
ext_fgi,109
bb_lower_20,107
rsi_14,99
ext_fgi_change_7d,97
macd,94
regime_price_vs_ma200,75
sma_20,74
sma_10,73
ema_10,70
regime_trend_50,41
regime_trend_200,11
regime_ma200_rise,7
regime_ma200_fall,5
regime_sideways,3
ext_fgi_extreme_fear,3
regime_vol_high,1
ext_fgi_extreme_greed,0
regime_bull,0
regime_bear,0
regime_vol_low,0
