feature,importance
vol_volatility_20,322
sma_200,282
sma_cross_50_200,280
obv,243
ext_fgi_std_14,238
low_50d_dist,238
rsi_28,231
return_1d,219
obv_sma_20,212
vol_price_corr_20,212
vol_volatility_10,205
atr_pct_21,204
ext_fgi_ma30,202
price_vs_sma_50,188
price_vs_sma_200,187
obv_sma_10,182
vol_price_corr_10,182
volatility_10d,182
high_50d_dist,180
bb_width_20,173
atr_21,171
high_14d_dist,164
high_21d_dist,161
volatility_20d,157
return_3d,157
atr_14,147
low_21d_dist,147
qvol_sma_20,146
macd_hist,138
sma_50,137
volatility_5d,134
regime_trend_100,134
vol_sma_20,130
atr_pct_14,127
vol_sma_10,126
return_21d,126
vol_sma_50,119
vol_change_3d,116
sma_100,114
ext_fgi_price_divergence,112
ext_fgi_change_14d,111
ext_fgi_ma14,108
low_14d_dist,108
sma_cross_10_50,107
vol_change_1d,105
vol_ratio_50,103
stoch_k_14,103
ema_100,95
bb_pctb_20,95
qvol_sma_10,95
return_5d,95
vol_change_5d,94
rsi_6,93
bb_upper_20,93
ema_200,92
ext_fgi_change_7d,88
qvol_sma_5,86
ema_5,84
ext_fgi,81
macd_signal,81
return_7d,80
sma_cross_5_20,79
vol_sma_5,78
qvol_ratio_20,73
return_14d,71
vol_ratio_5,70
ext_fgi_ma7,69
sma_5,65
rsi_14,65
ema_50,64
ema_10,62
price_vs_vwap_10,62
stoch_d_14,61
regime_price_vs_ma200,58
macd,56
price_vs_vwap_20,56
vwap_20,54
vol_ratio_20,47
regime_trend_50,46
bb_lower_20,45
price_vs_sma_20,44
ema_20,42
qvol_ratio_5,41
vol_ratio_10,37
qvol_ratio_10,35
sma_20,32
sma_10,29
vwap_10,16
regime_trend_200,11
regime_sideways,5
ext_fgi_extreme_fear,4
regime_ma200_rise,4
ext_fgi_extreme_greed,3
regime_ma200_fall,3
regime_bull,1
regime_bear,0
regime_vol_high,0
regime_vol_low,0
