feature,importance
sma_cross_50_200,268
low_50d_dist,264
sma_200,256
price_vs_sma_200,250
flow_momentum_20,247
rsi_28,243
trades_sma_20,236
volatility_10d,212
ext_fgi_ma30,207
flow_momentum_10,197
atr_pct_21,196
ext_fgi_std_14,188
high_50d_dist,185
return_1d,183
avg_trade_size_sma_20,182
atr_21,179
regime_trend_100,179
bb_width_20,177
high_14d_dist,169
price_vs_sma_50,167
high_21d_dist,160
flow_momentum_5,160
trades_sma_5,159
low_21d_dist,158
sma_100,151
ema_100,147
atr_14,143
volatility_20d,141
low_14d_dist,134
macd_hist,133
ext_fgi_ma14,133
volatility_5d,128
return_3d,128
return_21d,126
atr_pct_14,125
ema_200,124
stoch_k_14,122
sma_50,120
trades_sma_10,113
volume_density_sma_10,112
bb_pctb_20,111
ext_fgi_change_14d,109
rsi_6,106
avg_trade_size_ratio_20,103
bb_upper_20,102
avg_trade_size_sma_5,100
flow_price_divergence_20,100
sma_cross_10_50,100
flow_change_3d,97
macd_signal,93
return_5d,92
stoch_d_14,91
sma_cross_5_20,90
ema_50,90
return_7d,88
ema_5,88
avg_trade_size_sma_10,88
volume_density,86
flow_change_10d,86
sma_5,86
trades_change_1d,86
trades_ratio_20,86
avg_trade_size_ratio_5,85
ext_fgi_price_divergence,85
ext_fgi,84
ext_fgi_ma7,82
flow_change_5d,80
ema_10,78
price_vs_sma_20,77
trades_ratio_5,76
flow_price_divergence_10,70
trades_change_5d,70
flow_change_1d,67
ema_20,67
return_14d,66
sma_10,66
ext_fgi_change_7d,65
volume_density_sma_5,63
rsi_14,58
bb_lower_20,58
avg_trade_size,54
macd,51
regime_trend_50,50
sma_20,48
regime_price_vs_ma200,47
trades_ratio_10,44
avg_trade_size_ratio_10,43
regime_ma200_rise,12
regime_ma200_fall,6
regime_trend_200,5
regime_sideways,2
regime_vol_high,1
ext_fgi_extreme_fear,1
regime_bear,1
ext_fgi_extreme_greed,1
regime_bull,0
regime_vol_low,0
