feature,importance
price_vs_sma_200,473
sma_200,465
low_50d_dist,377
sma_cross_50_200,352
rsi_28,336
atr_21,313
atr_pct_21,299
sma_50,288
price_vs_sma_50,280
volatility_10d,266
bb_width_20,266
volatility_20d,265
high_50d_dist,263
sma_100,261
return_1d,260
atr_14,254
low_21d_dist,238
high_14d_dist,217
high_21d_dist,215
ema_200,210
macd_hist,206
ema_100,202
macd_signal,198
low_14d_dist,197
sma_cross_10_50,187
bb_upper_20,183
volatility_5d,183
rsi_6,183
return_21d,180
return_5d,180
atr_pct_14,178
stoch_k_14,171
return_3d,167
bb_pctb_20,161
return_7d,148
stoch_d_14,146
bb_lower_20,146
sma_cross_5_20,145
sma_5,144
ema_50,137
rsi_14,130
ema_5,129
return_14d,127
price_vs_sma_20,116
macd,108
ema_10,105
sma_20,92
sma_10,85
ema_20,80
