feature,importance
vol_volatility_20,280
dist_from_low_365d,248
vix_proxy_14,228
vol_price_corr_20,222
vix_proxy_change_7,212
fgi_ma_14,212
vix_proxy_60,205
obv,196
dist_from_low_180d,190
sma_cross_50_200,190
dist_from_low_30d,183
dist_from_high_30d,183
dist_from_low_90d,183
vol_price_corr_10,177
low_50d_dist,170
vol_volatility_10,168
macd_hist,168
rsi_28,163
atr_21,163
volatility_5d,159
obv_sma_20,153
sma_200,153
gtrend_proxy_ma_14,150
atr_pct_21,149
trades_sma_20,148
flow_momentum_20,148
return_1d,148
high_50d_dist,147
dist_from_high_90d,146
gtrend_proxy,145
vol_sma_20,144
price_vs_sma_50,143
ema_200,142
dist_from_high_180d,133
fgi_ma_7,129
low_21d_dist,128
flow_momentum_10,128
vix_proxy_30,125
avg_trade_size_sma_10,125
return_3d,124
volatility_20d,123
price_vs_sma_200,122
bb_width_20,121
vol_ratio_50,121
fgi,119
liquidity_proxy,118
low_14d_dist,115
dist_from_high_365d,114
avg_trade_size_sma_5,112
qvol_sma_20,111
stoch_k_14,110
volatility_10d,107
trades_sma_10,107
obv_sma_10,104
vol_sma_50,103
atr_pct_14,101
sma_cross_5_20,93
rsi_6,92
high_21d_dist,91
vol_sma_10,91
return_5d,90
trades_change_1d,88
avg_trade_size_ratio_20,88
flow_price_divergence_20,88
flow_momentum_5,86
flow_price_divergence_10,84
atr_14,82
sma_100,80
stoch_d_14,79
qvol_sma_10,79
return_7d,78
return_14d,77
macd_signal,77
bb_upper_20,77
high_14d_dist,75
avg_trade_size_sma_20,75
return_21d,71
volume_density,68
bb_pctb_20,67
qvol_sma_5,66
vol_sma_5,65
flow_change_5d,65
avg_trade_size_ratio_5,64
flow_change_10d,63
avg_trade_size_ratio_10,63
ema_100,60
avg_trade_size,60
bb_lower_20,58
ema_20,56
trades_change_5d,55
sma_50,55
price_vs_vwap_10,54
ema_5,53
sma_cross_10_50,52
rsi_14,52
trades_sma_5,51
vol_ratio_5,51
ema_50,51
volume_density_sma_5,50
trades_ratio_10,50
volume_density_sma_10,48
macd,47
ema_10,47
trades_ratio_20,46
price_vs_vwap_20,44
vol_change_1d,44
trades_ratio_5,42
flow_change_3d,40
volume_spike_30,39
vol_change_5d,38
qvol_ratio_20,37
price_vs_sma_20,37
vol_ratio_20,36
vol_ratio_10,35
sma_5,33
vol_change_3d,33
flow_change_1d,26
qvol_ratio_10,25
sma_20,24
vwap_20,20
vwap_10,20
sma_10,20
qvol_ratio_5,18
volume_spike_10,14
consecutive_down_days,13
consecutive_up_days,6
fgi_extreme_fear,1
fgi_extreme_greed,0
