feature,importance
vix_proxy_change_7,256
vol_volatility_20,223
flow_momentum_20,208
vol_sma_20,208
vix_proxy_14,205
vol_price_corr_20,204
volatility_10d,197
vix_proxy_30,191
vix_proxy_60,188
dist_from_low_30d,187
gtrend_proxy_ma_14,185
atr_pct_21,179
low_50d_dist,178
dist_from_low_90d,175
vol_volatility_10,172
gtrend_proxy,167
flow_momentum_10,164
atr_21,158
low_14d_dist,157
dist_from_low_365d,155
liquidity_proxy,155
fgi_ma_7,153
obv_sma_10,153
low_21d_dist,150
bb_width_20,144
stoch_d_14,142
fgi_ma_14,140
avg_trade_size_sma_20,138
macd_hist,138
flow_momentum_5,135
volatility_5d,132
high_50d_dist,131
vol_price_corr_10,129
trades_sma_20,127
return_1d,125
dist_from_low_180d,124
obv,123
dist_from_high_30d,123
avg_trade_size_ratio_20,120
flow_price_divergence_20,119
volatility_20d,119
fgi,114
price_vs_sma_50,112
obv_sma_20,110
price_vs_vwap_10,109
volume_density,107
trades_sma_10,104
dist_from_high_365d,103
return_3d,103
sma_cross_50_200,102
rsi_28,101
atr_14,99
dist_from_high_90d,99
vol_sma_10,98
return_7d,98
rsi_14,97
avg_trade_size_ratio_5,95
return_5d,94
sma_cross_10_50,94
qvol_sma_20,93
dist_from_high_180d,91
macd_signal,89
return_21d,88
high_14d_dist,87
return_14d,86
avg_trade_size_sma_5,85
macd,85
sma_cross_5_20,83
rsi_6,83
vol_ratio_50,82
high_21d_dist,81
qvol_sma_10,79
vol_sma_5,78
avg_trade_size_ratio_10,77
stoch_k_14,73
trades_ratio_10,73
price_vs_sma_200,73
atr_pct_14,72
flow_change_10d,72
trades_sma_5,71
sma_200,71
vol_sma_50,69
ema_100,68
volume_density_sma_10,68
qvol_sma_5,66
trades_change_1d,64
flow_price_divergence_10,62
avg_trade_size_sma_10,61
ema_200,58
ema_20,58
bb_pctb_20,56
volume_density_sma_5,56
price_vs_sma_20,53
bb_upper_20,53
sma_100,51
flow_change_5d,50
vol_change_1d,48
vol_change_3d,48
bb_lower_20,47
trades_ratio_5,47
vol_change_5d,46
trades_ratio_20,45
avg_trade_size,45
flow_change_1d,45
ema_5,44
price_vs_vwap_20,44
volume_spike_30,43
trades_change_5d,43
ema_10,43
ema_50,41
vol_ratio_5,39
flow_change_3d,39
sma_5,38
sma_50,34
vol_ratio_20,33
vol_ratio_10,32
qvol_ratio_20,30
vwap_10,27
qvol_ratio_10,24
consecutive_up_days,23
sma_10,21
qvol_ratio_5,20
sma_20,19
vwap_20,12
consecutive_down_days,11
volume_spike_10,9
fgi_extreme_greed,0
fgi_extreme_fear,0
