feature,importance
lth_sopr_ma30,587
vol_volatility_20,563
fgi_std30,491
buy_pressure_std30,484
buy_pressure_std7,447
mvrv_std30,446
fgi_lag14,420
sth_sopr_ma30,417
sth_sopr,412
rsi_14_std30,406
liquidity_proxy,388
avg_trade_size_sma_20,370
atr_14_std14,366
rsi_14_std14,365
vix_proxy_change_7,364
fgi_std14,363
fgi_std7,356
rsi_14_std7,351
avg_trade_size_sma_10,344
flow_momentum_20,332
dist_from_low_30d,315
macd_hist_lag14,309
macd_hist_std3,307
macd_hist_roc_7,300
volatility_10d,300
lth_sopr_roc_3,295
stablecoin_inflow_proxy,281
low_21d_dist,270
low_50d_dist,254
buy_pressure_lag14,253
fgi_dev_ma7,253
fgi_roc_1,244
entity_adjusted_vol,237
volume_density_roc_7,229
buy_pressure,223
sth_sopr_std3,222
vol_change_1d,220
buy_pressure_lag1,215
trades_change_5d,190
return_21d,155
