feature,importance
buy_pressure_ma_20,279
liquidity_proxy,274
vol_price_corr_20,273
volatility_5d,264
low_50d_dist,259
vol_price_corr_10,256
flow_momentum_20,252
dist_from_low_90d,252
gtrend_proxy_ma_14,251
sma_cross_50_200,245
vix_proxy_60,243
cvd_ma_21,238
dist_from_low_365d,236
vix_proxy_change_7,235
vol_volatility_20,235
vol_volatility_10,232
vix_proxy_14,232
flow_momentum_5,222
fgi_ma_7,216
bb_width_20,211
buy_pressure_ma_5,210
dist_from_low_180d,209
rsi_6,203
avg_trade_size_ratio_5,201
rsi_28,196
fgi_ma_14,194
qvol_sma_20,194
buy_pressure,192
qvol_sma_5,191
sma_200,190
cvd_change_7,184
macd_hist,183
atr_pct_21,180
vix_proxy_30,172
trades_sma_10,170
avg_trade_size_sma_5,169
trades_sma_5,167
trades_sma_20,161
flow_momentum_10,158
cvd_change_14,156
flow_price_divergence_10,156
trades_change_1d,155
low_14d_dist,154
cvd_change_21,154
bb_upper_20,154
vol_sma_50,153
sma_100,152
dist_from_low_30d,152
volatility_10d,151
flow_price_divergence_20,149
volatility_20d,149
avg_trade_size_sma_20,147
ema_200,141
return_21d,141
vol_change_1d,137
obv,137
atr_pct_14,135
obv_sma_20,133
fgi,132
buy_pressure_ma_10,132
gtrend_proxy,130
qvol_sma_10,128
dist_from_high_30d,126
price_vs_sma_50,125
dist_from_high_90d,124
high_14d_dist,124
return_3d,122
vol_ratio_50,118
ema_100,117
low_21d_dist,116
atr_21,112
volume_density_sma_5,112
stoch_d_14,111
price_vs_sma_200,111
return_1d,108
dist_from_high_180d,108
atr_14,107
avg_trade_size_sma_10,107
funding_rate_24,107
return_5d,104
open_interest_24,103
stoch_k_14,102
cvd_ma_14,101
sma_cross_10_50,98
open_interest_14,97
qvol_ratio_5,96
macd,95
bb_lower_20,95
high_21d_dist,94
rsi_14,92
sma_50,92
sma_cross_5_20,87
ema_5,85
vol_sma_5,84
high_50d_dist,82
flow_change_1d,80
qvol_ratio_20,79
sma_5,78
vol_change_5d,78
macd_signal,77
avg_trade_size_ratio_10,75
vol_change_3d,75
avg_trade_size_ratio_20,74
flow_change_5d,74
flow_change_10d,72
cvd_ma_7,72
return_7d,70
vol_ratio_20,68
bb_pctb_20,67
price_vs_sma_20,66
open_interest_7,66
trades_change_5d,64
flow_change_3d,64
dist_from_high_365d,64
funding_rate_14,64
avg_trade_size,61
trades_ratio_20,60
volume_density,60
stablecoin_inflow_proxy,59
return_14d,54
trades_ratio_10,53
qvol_ratio_10,50
volume_density_sma_10,48
obv_sma_10,48
vol_sma_20,45
volume_spike_30,45
ema_50,44
vwap_20,43
funding_rate_7,43
vol_sma_10,42
trades_ratio_5,41
vol_ratio_5,38
price_vs_vwap_10,37
price_vs_vwap_20,36
vwap_10,34
ema_20,33
vol_ratio_10,33
ema_10,30
avg_trade_size_ma_5,29
sma_10,29
sma_20,27
avg_trade_size_ma_20,26
cvd,22
volume_density_ma_5,22
avg_trade_size_ma_10,18
consecutive_down_days,10
volume_density_ma_10,9
volume_spike_10,9
consecutive_up_days,6
fgi_extreme_fear,0
fgi_extreme_greed,0
