feature,importance
vol_volatility_20,371
dist_from_low_365d,326
vol_price_corr_20,304
dist_from_low_90d,300
vix_proxy_change_7,277
vix_proxy_14,272
fgi_ma_14,260
dist_from_high_30d,244
sma_cross_50_200,238
vix_proxy_60,236
vol_price_corr_10,233
dist_from_low_30d,232
trades_sma_20,221
dist_from_low_180d,219
rsi_28,212
flow_momentum_20,212
buy_pressure_ma_20,205
return_3d,205
low_50d_dist,203
atr_21,200
sma_200,200
vol_volatility_10,196
low_21d_dist,196
atr_pct_21,190
macd_hist,185
price_vs_sma_50,181
bb_width_20,176
flow_momentum_10,175
high_50d_dist,173
funding_rate_24,171
cvd_change_21,169
dist_from_high_180d,167
avg_trade_size_sma_20,167
return_1d,167
dist_from_high_90d,167
volatility_5d,167
buy_pressure_ma_10,166
gtrend_proxy,164
cvd_change_14,164
low_14d_dist,156
gtrend_proxy_ma_14,154
vol_ratio_50,154
cvd_change_7,148
obv,146
stoch_k_14,145
open_interest_14,144
fgi_ma_7,143
price_vs_sma_200,139
atr_pct_14,136
ema_200,136
flow_price_divergence_20,135
fgi,135
vix_proxy_30,133
volatility_10d,131
buy_pressure,131
qvol_sma_20,126
flow_momentum_5,125
vol_sma_20,125
return_5d,124
high_14d_dist,124
vol_sma_50,124
volatility_20d,124
cvd_ma_21,123
dist_from_high_365d,121
atr_14,118
qvol_sma_5,117
avg_trade_size_sma_5,117
obv_sma_20,116
liquidity_proxy,115
open_interest_24,113
avg_trade_size_sma_10,113
trades_sma_10,112
rsi_6,111
buy_pressure_ma_5,109
high_21d_dist,107
flow_price_divergence_10,104
avg_trade_size_ratio_20,104
price_vs_vwap_10,102
macd_signal,95
sma_cross_5_20,94
cvd_ma_7,94
trades_change_1d,93
flow_change_5d,93
bb_pctb_20,91
ema_100,90
return_21d,89
sma_100,88
avg_trade_size_ratio_5,88
obv_sma_10,86
vol_sma_10,85
volume_density,85
ema_5,85
trades_change_5d,85
bb_upper_20,85
cvd_ma_14,83
stoch_d_14,81
funding_rate_14,81
avg_trade_size_ratio_10,80
macd,79
sma_cross_10_50,76
stablecoin_inflow_proxy,76
ema_20,75
flow_change_10d,73
bb_lower_20,72
open_interest_7,71
return_7d,68
price_vs_vwap_20,68
trades_sma_5,68
rsi_14,67
vol_change_5d,65
avg_trade_size,65
vol_change_3d,61
volume_density_sma_5,59
trades_ratio_10,58
return_14d,58
trades_ratio_20,56
trades_ratio_5,55
vol_ratio_5,55
qvol_ratio_20,55
cvd,53
qvol_sma_10,53
sma_50,52
vol_change_1d,52
volume_spike_30,51
sma_5,50
vol_sma_5,50
ema_50,48
flow_change_3d,47
ema_10,46
funding_rate_7,45
flow_change_1d,44
vol_ratio_20,40
qvol_ratio_5,40
volume_density_sma_10,39
avg_trade_size_ma_20,33
price_vs_sma_20,33
qvol_ratio_10,31
avg_trade_size_ma_5,30
vwap_20,24
avg_trade_size_ma_10,24
vol_ratio_10,22
vwap_10,20
sma_20,19
sma_10,17
consecutive_down_days,13
volume_density_ma_10,9
volume_density_ma_5,8
consecutive_up_days,5
volume_spike_10,5
fgi_extreme_fear,0
fgi_extreme_greed,0
