fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.8095238095238095,0.8947368421052632,0.8095238095238095,1.0,0.4473684210526316,0.0
1,1521,63,0.7142857142857143,0.8333333333333334,0.7142857142857143,1.0,0.4166666666666667,0.0
2,1542,63,0.42857142857142855,0.6,0.42857142857142855,1.0,0.3,0.0
3,1563,63,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.3225806451612903,0.0
4,1584,63,0.36507936507936506,0.5348837209302325,0.36507936507936506,1.0,0.26744186046511625,0.0
5,1605,63,0.31746031746031744,0.4819277108433735,0.31746031746031744,1.0,0.24096385542168675,0.0
6,1626,63,0.2698412698412698,0.425,0.2698412698412698,1.0,0.2125,0.0
7,1647,63,0.36507936507936506,0.5348837209302325,0.36507936507936506,1.0,0.26744186046511625,0.0
8,1668,63,0.5396825396825397,0.7010309278350515,0.5396825396825397,1.0,0.35051546391752575,0.0
9,1689,63,0.6507936507936508,0.5416666666666666,1.0,0.37142857142857144,0.6298076923076923,0.3443708609271523
10,1710,63,0.6031746031746031,0.6666666666666666,0.7352941176470589,0.6097560975609756,0.588235294117647,0.18688693856479088
11,1731,63,0.6666666666666666,0.7741935483870968,0.8571428571428571,0.7058823529411765,0.5689149560117301,0.16000000000000003
12,1752,63,0.1746031746031746,0.0,0.0,0.0,0.14864864864864866,-0.032136105860113506
13,1773,63,0.4603174603174603,0.5,1.0,0.3333333333333333,0.4568965517241379,0.16000000000000014
14,1794,63,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.0
15,1815,63,0.5079365079365079,0.6172839506172839,0.5555555555555556,0.6944444444444444,0.4641975308641975,-0.048309178743961345
16,1836,63,0.38095238095238093,0.5301204819277109,0.36065573770491804,1.0,0.3115718688708322,0.0345776031434184
17,1857,63,0.2857142857142857,0.4444444444444444,0.2857142857142857,1.0,0.2222222222222222,0.0
18,1878,63,0.19047619047619047,0.32,0.19047619047619047,1.0,0.16,0.0
19,1899,63,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0,0.3076923076923077,0.0
20,1920,63,0.6190476190476191,0.7647058823529411,0.6190476190476191,1.0,0.38235294117647056,0.0
21,1941,63,0.49206349206349204,0.5151515151515151,0.7391304347826086,0.3953488372093023,0.4909090909090909,0.07522935779816509
22,1962,63,0.5555555555555556,0.3333333333333333,0.7777777777777778,0.21212121212121213,0.5,0.14035087719298245
23,1983,63,0.4444444444444444,0.6153846153846154,0.4444444444444444,1.0,0.3076923076923077,0.0
24,2004,63,0.3968253968253968,0.5681818181818182,0.3968253968253968,1.0,0.2840909090909091,0.0
25,2025,63,0.36507936507936506,0.5348837209302325,0.36507936507936506,1.0,0.26744186046511625,0.0
26,2046,63,0.2698412698412698,0.425,0.2698412698412698,1.0,0.2125,0.0
27,2067,63,0.3968253968253968,0.5681818181818182,0.3968253968253968,1.0,0.2840909090909091,0.0
28,2088,63,0.49206349206349204,0.2727272727272727,0.35294117647058826,0.2222222222222222,0.44124168514412415,-0.08737864077669899
29,2109,63,0.6984126984126984,0.0,0.0,0.0,0.411214953271028,0.0
30,2130,63,0.8095238095238095,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.7092307692307692,0.41846153846153855
31,2151,63,0.746031746031746,0.5294117647058824,0.47368421052631576,0.6,0.6777493606138107,0.3587786259541985
32,2172,63,0.6984126984126984,0.5777777777777777,0.7222222222222222,0.48148148148148145,0.671604938271605,0.35748792270531393
