feature,importance
cvd_ma_21,232
ext_btc_tnx_corr_60d,206
ext_fr_ma_30,188
ema_100,185
ext_dxy_vs_ma50,179
atr_pct_21,177
ext_dxy_vol_20d,177
ext_btc_tnx_corr_20d,168
trades_sma_20,166
macd_hist,165
vol_volatility_20,163
funding_rate_24,162
open_interest_14,160
low_14d_dist,158
ext_btc_vix_corr_60d,156
vol_price_corr_20,155
ext_tnx_vs_ma10,150
ext_fgi_ma30,146
ext_btc_spx_corr_60d,146
qvol_sma_5,144
high_50d_dist,141
sma_100,139
price_vs_sma_200,139
rsi_28,139
ext_spx_vol_20d,136
ext_vix_vol_20d,135
ext_dxy,134
high_14d_dist,132
return_1d,130
price_vs_sma_50,129
volatility_5d,128
stoch_k_14,127
ext_gold,127
ext_tnx_ret_5d,123
vol_volatility_10,120
flow_momentum_20,120
volatility_20d,119
ext_vix_vs_ma50,114
ext_dxy_ret_20d,113
flow_momentum_10,110
high_21d_dist,109
bb_width_20,108
ext_gold_vs_ma10,106
ext_gold_ret_5d,106
ext_ndx_ret_5d,106
ext_btc_vix_corr_20d,100
ext_spx,100
cvd_change_21,99
flow_momentum_5,98
return_3d,96
ext_vix_ret_5d,94
price_vs_vwap_10,92
volatility_10d,89
ext_fgi_std_14,88
volume_density_sma_10,87
ema_200,83
ext_dxy_ret_5d,76
avg_trade_size_sma_10,70
avg_trade_size_sma_5,60
ext_fgi_change_14d,59
