fold_id,train_size,test_size,accuracy,f1_binary,precision_binary,recall_binary,f1_macro,cohen_kappa
0,1500,63,0.19047619047619047,0.13559322033898305,0.5,0.0784313725490196,0.1871995952441184,-0.10754912099276104
1,1521,63,0.4444444444444444,0.36363636363636365,1.0,0.2222222222222222,0.4353393085787452,0.14035087719298234
2,1542,63,0.6349206349206349,0.3783783783783784,0.7,0.25925925925925924,0.5599757060431219,0.19095477386934678
3,1563,63,0.5555555555555556,0.36363636363636365,0.5714285714285714,0.26666666666666666,0.5110864745011087,0.08695652173913038
4,1584,63,0.6507936507936508,0.08333333333333333,1.0,0.043478260869565216,0.4338235294117647,0.054570259208731375
5,1605,63,0.6507936507936508,0.08333333333333333,0.25,0.05,0.4338235294117647,-0.025147928994082802
6,1626,63,0.4444444444444444,0.4444444444444444,0.30434782608695654,0.8235294117647058,0.4444444444444444,0.08316008316008328
7,1647,63,0.7142857142857143,0.6785714285714286,0.5757575757575758,0.8260869565217391,0.7107142857142857,0.4358208955223881
8,1668,63,0.6507936507936508,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.6507056451612903,0.3076923076923077
9,1689,63,0.7936507936507936,0.8311688311688312,0.7619047619047619,0.9142857142857143,0.7829313543599259,0.5714285714285714
10,1710,63,0.6984126984126984,0.6984126984126984,1.0,0.5365853658536586,0.6984126984126984,0.4471131639722864
11,1731,63,0.31746031746031744,0.2711864406779661,1.0,0.1568627450980392,0.31469769795092334,0.06618407445708385
12,1752,63,0.23809523809523808,0.1111111111111111,1.0,0.058823529411764705,0.2222222222222222,0.023255813953488302
13,1773,63,0.2857142857142857,0.21052631578947367,1.0,0.11764705882352941,0.2791762013729977,0.048338368580060576
14,1794,63,0.5396825396825397,0.6506024096385542,0.6585365853658537,0.6428571428571429,0.4880919024936957,-0.02352941176470602
15,1815,63,0.4444444444444444,0.46153846153846156,0.5172413793103449,0.4166666666666667,0.4438839848675914,-0.09865470852017943
16,1836,63,0.36507936507936506,0.5238095238095238,0.3548387096774194,1.0,0.2857142857142857,0.01716068642745705
17,1857,63,0.3492063492063492,0.4533333333333333,0.2982456140350877,0.9444444444444444,0.3247058823529412,0.03367003367003374
18,1878,63,0.2857142857142857,0.34782608695652173,0.21052631578947367,1.0,0.2791762013729977,0.048338368580060576
19,1899,63,0.5714285714285714,0.5423728813559322,0.5161290322580645,0.5714285714285714,0.5696939033645332,0.1413427561837456
20,1920,63,0.36507936507936506,0.25925925925925924,0.4666666666666667,0.1794871794871795,0.35185185185185186,-0.12903225806451601
21,1941,63,0.3333333333333333,0.045454545454545456,1.0,0.023255813953488372,0.26662971175166295,0.014892032762471974
22,1962,63,0.5714285714285714,0.3076923076923077,1.0,0.18181818181818182,0.49867374005305043,0.1746724890829695
23,1983,63,0.5396825396825397,0.3829787234042553,0.47368421052631576,0.32142857142857145,0.5079450579046594,0.03690036900369009
24,2004,63,0.6666666666666666,0.3225806451612903,0.8333333333333334,0.2,0.5507640067911714,0.19963702359346647
25,2025,63,0.6507936507936508,0.15384615384615385,0.6666666666666666,0.08695652173913043,0.46692307692307694,0.07600000000000007
26,2046,63,0.7301587301587301,0.19047619047619047,0.5,0.11764705882352941,0.5142857142857142,0.09772535804549287
27,2067,63,0.6349206349206349,0.34285714285714286,0.6,0.24,0.5450549450549451,0.1501466275659824
28,2088,63,0.6349206349206349,0.46511627906976744,0.625,0.37037037037037035,0.5940039226674139,0.21463414634146338
29,2109,63,0.47619047619047616,0.23255813953488372,0.20833333333333334,0.2631578947368421,0.4174838890445503,-0.1569282136894825
30,2130,63,0.49206349206349204,0.4482758620689655,0.28888888888888886,1.0,0.48884381338742394,0.18840579710144933
31,2151,63,0.6031746031746031,0.5283018867924528,0.3684210526315789,0.9333333333333333,0.5929180666838976,0.2837653478854024
32,2172,63,0.7777777777777778,0.65,1.0,0.48148148148148145,0.7436046511627907,0.5148514851485149
