feature,importance
ext_fgi_ma30,348
ext_btc_spx_corr_60d,288
high_50d_dist,288
ext_btc_tnx_corr_60d,281
low_50d_dist,267
flow_momentum_20,266
obv,244
vol_volatility_20,243
vol_volatility_10,243
bb_width_20,229
ext_tnx_vol_20d,229
ext_tnx_ret_20d,221
ext_gold_ret_5d,220
ext_vix_vs_ma50,219
ext_gold,217
ext_dxy_vol_20d,214
avg_trade_size_sma_10,212
funding_rate_24,210
volatility_5d,208
ext_vix_ret_20d,207
vol_price_corr_20,206
rsi_28,204
ext_btc_vix_corr_60d,203
ext_fr_zscore,202
ext_gold_ret_20d,202
ext_btc_tnx_corr_20d,198
high_14d_dist,195
flow_momentum_10,193
ext_dxy_ret_20d,193
low_21d_dist,189
avg_trade_size_sma_5,189
ext_tnx_vs_ma10,188
vol_price_corr_10,186
cvd_change_21,182
ext_spx_vs_ma50,181
ext_tnx_vs_ma50,181
macd_hist,179
ext_btc_vix_corr_20d,178
ext_fgi_std_14,178
ext_tnx_ret_5d,177
stoch_d_14,177
cvd_change_14,173
return_1d,170
avg_trade_size_ratio_10,165
vol_ratio_50,159
return_3d,155
ext_ndx_ret_5d,154
buy_pressure_ma_20,151
buy_pressure_ma_10,146
stablecoin_inflow_proxy,141
ext_dxy_vs_ma10,138
sma_cross_10_50,137
ext_gold_ret_1d,130
ext_dxy_ret_5d,130
rsi_6,126
return_5d,115
buy_pressure_ma_5,114
flow_momentum_5,111
vol_change_3d,95
ext_spx_ret_5d,89
