feature,importance
cvd_ma_21,422
ema_100,398
trades_sma_20,353
macd_hist,351
ext_btc_tnx_corr_60d,333
ext_btc_tnx_corr_20d,331
vol_volatility_20,313
sma_100,307
price_vs_sma_200,293
ext_btc_spx_corr_60d,291
low_50d_dist,284
high_50d_dist,280
funding_rate_24,278
ext_dxy_vol_20d,277
ext_dxy_vs_ma50,275
rsi_28,261
ext_gold,259
atr_pct_21,248
qvol_sma_5,248
flow_momentum_20,235
ext_dxy_ret_20d,230
ext_btc_vix_corr_60d,229
vol_volatility_10,226
ema_200,222
ext_dxy,221
volatility_20d,219
price_vs_sma_50,216
flow_momentum_10,215
ext_vix_vol_20d,207
high_21d_dist,205
ext_fgi_std_14,203
ext_vix_vs_ma50,197
ext_btc_vix_corr_20d,196
volatility_10d,185
return_1d,181
bb_width_20,170
return_3d,169
ext_gold_vs_ma10,162
cvd_change_21,160
avg_trade_size_sma_5,158
high_14d_dist,155
volatility_5d,154
volume_density_sma_10,151
ext_spx,151
price_vs_vwap_10,149
