feature,importance
vol_volatility_20,563
obv,493
sma_cross_50_200,458
atr_21,427
ext_fgi_ma30,422
low_50d_dist,406
vol_price_corr_20,390
vol_price_corr_10,388
vol_volatility_10,385
sma_200,371
flow_momentum_20,362
price_vs_sma_50,357
high_50d_dist,354
price_vs_sma_200,339
macd_hist,333
atr_pct_21,333
cvd_change_14,330
ext_fgi_std_14,330
open_interest_14,324
return_3d,324
bb_upper_20,317
low_14d_dist,310
volatility_10d,310
low_21d_dist,304
buy_pressure_ma_10,291
funding_rate_24,290
flow_momentum_10,290
flow_price_divergence_10,276
bb_width_20,269
cvd_change_7,267
buy_pressure_ma_20,266
volatility_5d,256
rsi_6,255
sma_100,255
volatility_20d,249
avg_trade_size_sma_5,246
ext_fgi_ma14,246
avg_trade_size_ratio_10,244
vol_sma_50,242
return_1d,240
vol_sma_20,236
sma_cross_10_50,236
ema_200,233
stoch_k_14,231
cvd_change_21,226
avg_trade_size_sma_10,225
high_14d_dist,222
high_21d_dist,217
avg_trade_size_sma_20,215
flow_price_divergence_20,214
qvol_sma_5,213
ext_fgi_change_14d,210
trades_change_5d,205
buy_pressure_ma_5,199
ext_fgi,190
atr_pct_14,187
buy_pressure,187
flow_change_5d,177
ema_100,167
return_21d,160
